board,item,test,verdict,measured,limit,evidence,stamp
Assemblies,CM4 compute module,AS-CM4,PASS,throttled=0x0 temp=56.9 C core=0.9200V matrix-app=active,"throttled 0x0, temp < 70 C, core volts in window, app active","19:59:56 up 6:51, 3 users, load average: 1.68, 1.21, 1.07 throttled=0x0 temp=56.9'C volt=0.9200V Raspberry Pi Compute Module 4 Rev 1.1 active",2026-09-22T18:59:56Z
HDMI FPC (rev B),Display link HDMI0 → TFT,HD0-1,PASS,"HDMI-A-1 connected, RTK 10811, native 1920x1080, active=True",connected + EDID mfr/product + native mode active,status=connected --- edid-decode --- edid-decode (hex): 00 ff ff ff ff ff ff 00 4a 8b 3b 2a 01 01 01 01 17 15 01 03 80 3c 22 78 ea 1e c5 ae 4f 34 b1 26 0e 50 54 a5 4b 00 81 80 a9 40 d1 c0 71 4f 01 01 01 01 01 01 01 01 02 3a 80 18 71 38 2d 40 58 2c 45 00 55 50 21 00 00 1e 00 00 00 ff 00 4a 32 35 37 4d 39 36 42 30 30 46 4c 0a 00 00 00 fc 00 52 54 4b 20 46 48 44 0a 20 20 20 20 20 00 00 00 fd 00 38...,2026-09-22T18:59:56Z
Assemblies,TFT display,HD0-1,PASS,"HDMI-A-1 connected, RTK 10811, native 1920x1080, active=True",connected + EDID mfr/product + native mode active,status=connected --- edid-decode --- edid-decode (hex): 00 ff ff ff ff ff ff 00 4a 8b 3b 2a 01 01 01 01 17 15 01 03 80 3c 22 78 ea 1e c5 ae 4f 34 b1 26 0e 50 54 a5 4b 00 81 80 a9 40 d1 c0 71 4f 01 01 01 01 01 01 01 01 02 3a 80 18 71 38 2d 40 58 2c 45 00 55 50 21 00 00 1e 00 00 00 ff 00 4a 32 35 37 4d 39 36 42 30 30 46 4c 0a 00 00 00 fc 00 52 54 4b 20 46 48 44 0a 20 20 20 20 20 00 00 00 fd 00 38...,2026-09-22T18:59:56Z
Digital,Ethernet (RJ45),NW1,PASS,"Link detected: yes, Speed: 1000Mb/s, Duplex: Full, carrier=1","link up, 1000Mb/s, Full",netlink error: Operation not permitted Settings for eth0: Supported ports: [ TP MII ] Supported link modes: 10baseT/Half 10baseT/Full 100baseT/Half 100baseT/Full 1000baseT/Half 1000baseT/Full Supported pause frame use: Symmetric Receive-only Supports auto-negotiation: Yes Supported FEC modes: Not reported Advertised link modes: 10baseT/Half 10baseT/Full 100baseT/Half 100baseT/Full 1000baseT/Hal...,2026-09-22T18:59:57Z
Digital,Ethernet (RJ45),NW3,FAIL,"loss 2.0%, min/avg/max 0.379/0.523/0.717 ms","0% loss, max RTT < 5 ms","--- 192.168.1.211 ping statistics --- 200 packets transmitted, 196 received, 2% packet loss, time 40677ms rtt min/avg/max/mdev = 0.379/0.523/0.717/0.050 ms",2026-09-22T19:00:38Z
Digital,Ethernet (RJ45),NW4,NO DATA,"unit rx 94 Mbit/s, unit tx 94 Mbit/s -- but the driving host's ens9 negotiates 100 Mb/s, so this is the path, not the unit",>= 900 Mbit/s each way,"driving host 192.168.1.211: iface ens9, link 100 Mb/s --- unit receiving (host -> unit) --- - - - - - - - - - - - - - - - - - - - - - - - - - [ ID] Interval Transfer Bitrate Retr [ 5] 0.00-10.00 sec 113 MBytes 94.6 Mbits/sec 0 sender [ 5] 0.00-10.01 sec 112 MBytes 93.9 Mbits/sec receiver iperf Done. --- unit sending (unit -> host, -R) --- - - - - - - - - - - - - - - - - - - - - - - - - - [ ID] ...",2026-09-22T19:01:03Z
Digital,Ethernet (RJ45),NW2,FAIL,"deltas over NW3+NW4: {'rx_errors': 0, 'rx_dropped': 2, 'rx_missed': 0, 'tx_errors': 0, 'tx_dropped': 0, 'tx_carrier': 0, 'tx_collsns': 0}; idle control (30 s): {'rx_errors': 0, 'rx_dropped': 0, 'rx_missed': 0, 'tx_errors': 0, 'tx_dropped': 0, 'tx_carrier': 0, 'tx_collsns': 0}",all zero for the run,"--- before NW3 --- 2: eth0: <BROADCAST,MULTICAST,UP,LOWER_UP> mtu 1500 qdisc mq state UP mode DEFAULT group default qlen 1000 link/ether d8:3a:dd:82:d6:45 brd ff:ff:ff:ff:ff:ff RX: bytes packets errors dropped missed mcast 237050160 260473 0 137 0 57965 TX: bytes packets errors dropped carrier collsns 130402979 162104 0 0 0 0 --- after NW4 --- 2: eth0: <BROADCAST,MULTICAST,UP,LOWER_UP> mtu 1500...",2026-09-22T19:01:33Z
DSP PCBA (H1S1 MCU wiring),H1S1 MCU (STM32U575) link,ML1,PASS,"Sys001Test001 (5414) x3 = ['0x00', '0x00', '0x00'], [111.1, 110.4, 110.4] ms",3 identical answers within the bus timeout,"{""mode"": ""cell"", ""cell"": 5414, ""reps"": 3, ""reads"": [{""value"": 0, ""ms"": 111.1, ""raw"": ""+\n+\nimjn\n""}, {""value"": 0, ""ms"": 110.4, ""raw"": ""+\n+\nimjn\n""}, {""value"": 0, ""ms"": 110.4, ""raw"": ""+\n+\nimjn\n""}], ""answered"": 3, ""identical"": true}",2026-09-22T19:01:40Z
Assemblies,S MCU H1S1 (STM32U575),ML1,PASS,"Sys001Test001 (5414) x3 = ['0x00', '0x00', '0x00'], [111.1, 110.4, 110.4] ms",3 identical answers within the bus timeout,"{""mode"": ""cell"", ""cell"": 5414, ""reps"": 3, ""reads"": [{""value"": 0, ""ms"": 111.1, ""raw"": ""+\n+\nimjn\n""}, {""value"": 0, ""ms"": 110.4, ""raw"": ""+\n+\nimjn\n""}, {""value"": 0, ""ms"": 110.4, ""raw"": ""+\n+\nimjn\n""}], ""answered"": 3, ""identical"": true}",2026-09-22T19:01:40Z
DSP PCBA (H1S1 MCU wiring),H1S1 MCU (STM32U575) link,ML2,NO DATA,no H1S1 version cell; host side H1S1.shex 5dc7acdea662f9153b09b816f9ae76b2,non-zero version equal to the H1S1.shex manifest,"PREREQUISITE: H1S1 firmware-version cell (spec prereq 1). H1S1's whole local cell table is Sys001Enc001/Sys001Skin001/Sys001Test001/Sys001Test002 (~/build-h1s1/Core/Inc/matrix.cs:11-18); no *Ver*/*Build* cell exists. The only identity it publishes is the S_TEST string ""// H1S1 DSP"" (matrix.cs:46). Host side reads: 5dc7acdea662f9153b09b816f9ae76b2 /home/app/firmware/H1S1.shex %s",2026-09-22T19:01:41Z
Assemblies,S MCU H1S1 (STM32U575),ML2,NO DATA,no H1S1 version cell; host side H1S1.shex 5dc7acdea662f9153b09b816f9ae76b2,non-zero version equal to the H1S1.shex manifest,"PREREQUISITE: H1S1 firmware-version cell (spec prereq 1). H1S1's whole local cell table is Sys001Enc001/Sys001Skin001/Sys001Test001/Sys001Test002 (~/build-h1s1/Core/Inc/matrix.cs:11-18); no *Ver*/*Build* cell exists. The only identity it publishes is the S_TEST string ""// H1S1 DSP"" (matrix.cs:46). Host side reads: 5dc7acdea662f9153b09b816f9ae76b2 /home/app/firmware/H1S1.shex %s",2026-09-22T19:01:41Z
