pin,rtl_name,fitter_dir,net,boards,active_devices_besides_U3,connector_pins
1,no[1],output,LOGIC_NO1,dsp;digital;opt1,NONE,"dsp:J1.32, dsp:J2.32, digital:J1.A8, digital:J18.32, opt1:SLOT.A8"
2,no[0],output,LOGIC_NO0,dsp;digital;opt1,NONE,"dsp:J1.31, dsp:J2.31, digital:J1.A9, digital:J18.31, opt1:SLOT.A9"
3,ni[3],input,LOGIC_NI3,dsp;digital;opt1,NONE,"dsp:J1.30, dsp:J2.30, digital:J1.A10, digital:J18.30, opt1:SLOT.A10"
4,ni[2],input,LOGIC_NI2,dsp;digital;opt1,NONE,"dsp:J1.29, dsp:J2.29, digital:J1.A11, digital:J18.29, opt1:SLOT.A11"
5,ni[1],input,LOGIC_NI1,dsp;digital;opt1,NONE,"dsp:J1.28, dsp:J2.28, digital:J1.A12, digital:J18.28, opt1:SLOT.A12"
6,ni[0],input,LOGIC_NI0,dsp;digital;opt1,NONE,"dsp:J1.27, dsp:J2.27, digital:J1.A13, digital:J18.27, opt1:SLOT.A13"
7,test[3],output,LOGIC_TEST4,dsp;digital,NONE,"dsp:J1.20, dsp:J2.20, digital:J15.10, digital:J18.20"
8,test[2],output,LOGIC_TEST3,dsp;digital,NONE,"dsp:J1.19, dsp:J2.19, digital:J15.8, digital:J18.19"
9,VCCIO1,power,+3V3,dsp;digital,(rail),-
10,GNDIO,gnd,GND,dsp;digital;analog;rswitch;lswitch;phonejack;minijack;hdmifpc;p1;opt1;opt2;opt3,(rail),-
11,GNDIO,gnd,GND,dsp;digital;analog;rswitch;lswitch;phonejack;minijack;hdmifpc;p1;opt1;opt2;opt3,(rail),-
12,test[1],output,LOGIC_TEST2,dsp;digital,NONE,"dsp:J1.18, dsp:J2.18, digital:J15.6, digital:J18.18"
13,test[0],output,LOGIC_TEST1,dsp;digital,NONE,"dsp:J1.17, dsp:J2.17, digital:J15.4, digital:J18.17"
14,fsi[0],output,FSI0,dsp,dsp:U6.53 (via dsp:R40),-
15,fsi[1],output,FSI1,dsp,dsp:U6.56 (via dsp:R35),-
16,fsi[2],output,FSI2,dsp,dsp:U6.66 (via dsp:R56),-
