num,board,item,class,status,section,covers
1,Analog,MIC 1,analog input,UNTESTED – dead section,2+4,1
2,Analog,MIC 2,analog input,UNTESTED – dead section,2+4,2
3,Analog,MIC 3,analog input,UNTESTED – dead section,2+4,3
4,Analog,MIC 4,analog input,UNTESTED – dead section,2+4,4
5,Analog,MIC 13,analog input,UNTESTED – dead section,2+4,5
6,Analog,MIC 14,analog input,UNTESTED – dead section,2+4,6
7,Analog,MIC 15,analog input,UNTESTED – dead section,2+4,7
8,Analog,MIC 16,analog input,UNTESTED – dead section,2+4,8
9,Analog,MIC 5,analog input,PARTIAL,2+4,9
10,Analog,MIC 6,analog input,PARTIAL,2+4,10
11,Analog,MIC 9,analog input,BENCH FAULT,2+4,11
12,Analog,MIC 10,analog input,PARTIAL,2+4,12
13,Analog,MIC 11,analog input,PARTIAL,2+4,13
14,Analog,MIC 12,analog input,PARTIAL,2+4,14
15,Analog,MIC 17,analog input,PARTIAL,2+4,15
16,Analog,MIC 18,analog input,PARTIAL,2+4,16
17,Analog,MIC 19,analog input,PARTIAL,2+4,17
18,Analog,MIC 21,analog input,PARTIAL,2+4,18
19,Analog,MIC 22,analog input,PARTIAL,2+4,19
20,Analog,MIC 23,analog input,PARTIAL,2+4,20
21,Analog,MIC 24,analog input,PARTIAL,2+4,21
22,Analog,MIC 7,analog input,FAIL,2+4,22
23,Analog,MIC 8,analog input,FAIL,2+4,23
24,Analog,MIC 20,analog input,FAIL,2+4,24
25,Analog,Aux Out A1 (doubles as Monitor 1),analog output,PARTIAL,2+4,25
26,Analog,Aux Out A2,analog output,PARTIAL,2+4,26
27,Analog,Aux Out A3,analog output,PARTIAL,2+4,27
28,Analog,Aux Out A4,analog output,PARTIAL,2+4,28
29,Analog,Aux Out A5,analog output,PARTIAL,2+4,29
30,Analog,Aux Out A6,analog output,PARTIAL,2+4,30
31,Analog,Aux Out A7,analog output,BENCH FAULT,2+4,31
32,Analog,Aux Out A8,analog output,PARTIAL,2+4,32
33,Analog,Main Out L,analog output,UNTESTED – no fixture,2+4,33
34,Analog,Main Out R,analog output,BENCH FAULT,2+4,34
35,Analog,Center/LF Out,analog output,UNTESTED – no fixture,2+4,35
36,Analog,"Monitor Out L (TRS, unbalanced)",analog output,BENCH FAULT,2+4,36
37,Analog,"Monitor Out R (TRS, unbalanced)",analog output,BENCH FAULT,2+4,37
38,Analog,Talkback TB (XLR),analog input (codec path),UNTESTED – no fixture,2+4,38
39,Analog,"Aux Out A 1-2 (TRS, Phone Jack sub-assembly)",analog output,UNTESTED – no fixture,2+4,39
40,Analog,"Aux Out A 3-4 (TRS, Phone Jack sub-assembly)",analog output,UNTESTED – no fixture,2+4,40
41,Analog,"Aux Out A 5-6 (TRS, Phone Jack sub-assembly)",analog output,UNTESTED – no fixture,2+4,41
42,Analog,"Aux Out A 7-8 (TRS, Phone Jack sub-assembly)",analog output,UNTESTED – no fixture,2+4,42
43,Left Switch PCBA,MONO AUX (fw.csv MonoAux) button,panel switch,UNTESTED – no fixture,3,43
44,Left Switch PCBA,MONO AUX (fw.csv MonoAux) button LEDs (white pair),panel LED,UNTESTED – no fixture,4,44
45,Left Switch PCBA,STEREO AUX (fw.csv StereoAux) button,panel switch,UNTESTED – no fixture,3,45
46,Left Switch PCBA,STEREO AUX (fw.csv StereoAux) button LEDs (white pair),panel LED,UNTESTED – no fixture,4,46
47,Left Switch PCBA,FX (fw.csv Fx) button,panel switch,UNTESTED – no fixture,3,47
48,Left Switch PCBA,FX (fw.csv Fx) button LEDs (white pair),panel LED,UNTESTED – no fixture,4,48
49,Left Switch PCBA,EQ (fw.csv Eq) button,panel switch,UNTESTED – no fixture,3,49
50,Left Switch PCBA,EQ (fw.csv Eq) button LEDs (white pair),panel LED,UNTESTED – no fixture,4,50
51,Left Switch PCBA,AUX ON FADERS (fw.csv AuxOnFaders) button,panel switch,UNTESTED – no fixture,3,51
52,Left Switch PCBA,AUX ON FADERS (fw.csv AuxOnFaders) button LEDs (white pair),panel LED,UNTESTED – no fixture,4,52
53,Left Switch PCBA,OVERVIEW (fw.csv Overview) button,panel switch,UNTESTED – no fixture,3,53
54,Left Switch PCBA,OVERVIEW (fw.csv Overview) button LEDs (white pair),panel LED,UNTESTED – no fixture,4,54
55,Left Switch PCBA,"BOOT0 indicator LED (red, fw.csv BootLed)",panel LED,UNTESTED – no fixture,4,55
56,Left Switch PCBA,Panel MEMS mic (talkback) + Speaker,panel mic + speaker,UNTESTED – no fixture,1,56 57
