group_id,group_name,shared_state,order,num,item,transition_note
A1,CM4 reads -- the app stays up,"nothing stopped, no DSP link, AN_EN as found, app in either role",1,127,Display link HDMI0 → TFT,"start the HD0-2 soak sampler here (:2350-2364) and harvest it at the END of A1, once per session, not once per press"
A1,CM4 reads -- the app stays up,"nothing stopped, no DSP link, AN_EN as found, app in either role",2,203,TFT display,
A1,CM4 reads -- the app stays up,"nothing stopped, no DSP link, AN_EN as found, app in either role",3,193,CM4 compute module,
A1,CM4 reads -- the app stays up,"nothing stopped, no DSP link, AN_EN as found, app in either role",4,128,Ethernet (RJ45),
A1,CM4 reads -- the app stays up,"nothing stopped, no DSP link, AN_EN as found, app in either role",5,151,Link 'hdmi-pwr',
A2,"Matrix bus exclusive -- mixer stopped, pair not needed","matrix-app STOPPED + stage populated (app_stop :2377, stage_setup :2384)",6,102,H1S1 MCU (STM32U575) link,"TRANSITION into A2: app_stop (:2377) + stage_setup (:2384), once for A2-A5. No boot_pair: nothing in A2 reads the pair"
A2,"Matrix bus exclusive -- mixer stopped, pair not needed","matrix-app STOPPED + stage populated (app_stop :2377, stage_setup :2384)",7,202,S MCU H1S1 (STM32U575),"TRANSITION into A2: app_stop (:2377) + stage_setup (:2384), once for A2-A5. No boot_pair: nothing in A2 reads the pair"
A2,"Matrix bus exclusive -- mixer stopped, pair not needed","matrix-app STOPPED + stage populated (app_stop :2377, stage_setup :2384)",8,201,M MCU (STM32G031),
A2,"Matrix bus exclusive -- mixer stopped, pair not needed","matrix-app STOPPED + stage populated (app_stop :2377, stage_setup :2384)",9,125,Right panel MCU link (fw.csv SW_RIGHT),
A2,"Matrix bus exclusive -- mixer stopped, pair not needed","matrix-app STOPPED + stage populated (app_stop :2377, stage_setup :2384)",10,143,Link 'dig-panel-a',
A2,"Matrix bus exclusive -- mixer stopped, pair not needed","matrix-app STOPPED + stage populated (app_stop :2377, stage_setup :2384)",11,126,Left panel MCU link (fw.csv SW_LEFT),
A2,"Matrix bus exclusive -- mixer stopped, pair not needed","matrix-app STOPPED + stage populated (app_stop :2377, stage_setup :2384)",12,144,Link 'dig-panel-b',
A2,"Matrix bus exclusive -- mixer stopped, pair not needed","matrix-app STOPPED + stage populated (app_stop :2377, stage_setup :2384)",13,112,Codec select CS_C (fw.csv Codec),
A2,"Matrix bus exclusive -- mixer stopped, pair not needed","matrix-app STOPPED + stage populated (app_stop :2377, stage_setup :2384)",14,199,Codec AK4619,
A2,"Matrix bus exclusive -- mixer stopped, pair not needed","matrix-app STOPPED + stage populated (app_stop :2377, stage_setup :2384)",15,111,Mic-gain chain latch CS_M (fw.csv MicGain),
A3,"The DSP pair -- reset, boot and the chip selects","A2 + the pair booted to BOOT_STAGE 7 (boot_pair :2399), CS_M op dh",16,110,DSP reset RST_D (fw.csv Reset),TRANSITION into A3: ONE boot_pair (:2399). DR1 needs an advancing heartbeat; DR2 and DY1 re-boot as part of their own measurement and leave the pair up
A3,"The DSP pair -- reset, boot and the chip selects","A2 + the pair booted to BOOT_STAGE 7 (boot_pair :2399), CS_M op dh",17,105,DSP chip-select CS3 (fw.csv Dsp3),
A3,"The DSP pair -- reset, boot and the chip selects","A2 + the pair booted to BOOT_STAGE 7 (boot_pair :2399), CS_M op dh",18,106,DSP chip-select CS4 (fw.csv Dsp4),
A3,"The DSP pair -- reset, boot and the chip selects","A2 + the pair booted to BOOT_STAGE 7 (boot_pair :2399), CS_M op dh",19,103,DSP chip-select CS1 (fw.csv Dsp1),
A3,"The DSP pair -- reset, boot and the chip selects","A2 + the pair booted to BOOT_STAGE 7 (boot_pair :2399), CS_M op dh",20,104,DSP chip-select CS2 (fw.csv Dsp2),
A3,"The DSP pair -- reset, boot and the chip selects","A2 + the pair booted to BOOT_STAGE 7 (boot_pair :2399), CS_M op dh",21,107,DSP chip-select CS6 (fw.csv Dsp6),
A3,"The DSP pair -- reset, boot and the chip selects","A2 + the pair booted to BOOT_STAGE 7 (boot_pair :2399), CS_M op dh",22,108,DSP chip-select CS7 (fw.csv Dsp7),
A3,"The DSP pair -- reset, boot and the chip selects","A2 + the pair booted to BOOT_STAGE 7 (boot_pair :2399), CS_M op dh",23,109,DSP chip-select CS8 (fw.csv Dsp8),
A4,"The pair, read -- no new state",A3 as it left it: the pair up and answering (no boot of its own),24,139,Link 'dig-dsp-a',"NO transition: A3 ends with the pair at BOOT_STAGE 7 (_rdy_cycle :836, t_dr2 :940), which is exactly A4's state"
A4,"The pair, read -- no new state",A3 as it left it: the pair up and answering (no boot of its own),25,194,SHARC DSP A (ADSP-21564),"NO transition: A3 ends with the pair at BOOT_STAGE 7 (_rdy_cycle :836, t_dr2 :940), which is exactly A4's state"
