num,item,runner,requires_pair_boot,requires_an_en,requires_cs_m_driven,requires_codec_init,requires_595,requires_app,requires_image,requires_fixture,requires_press,requires_meter,handback,est_setup_s,est_run_s,evidence
56,Panel MEMS mic (talkback) + Speaker,tools/pi/d24_selftest.py --section C --only AL1,yes,yes,yes,yes,safe,d24-testui (matrix-app STOPPED),test-node-pair,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",13,10,"AL1: tools/pi/d24_selftest.py:1615-1712 -> _al1_prereq :1450-1522: raises AN_EN (:1461-1463), codec_init (:1475), ensure_pair (:1478), TEST_NODES symbol check (:1482-1484), route write (:1494-1496); handback lowers the rails (:2129-2135)"
102,H1S1 MCU (STM32U575) link,"tools/pi/d24_selftest.py --section B --only ML1,ML2",no,no,no,no,none,d24-testui (matrix-app STOPPED),n/a,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,4,"ML1: tools/pi/d24_selftest.py:647-659 -> _bus :638-645 -> d24_bus_probe.py --mode cell; tools/pi/d24_bus_probe.py:25 ""matrix-app owns /dev/serial0"" | ML2: tools/pi/d24_selftest.py:661-671; md5sum of H1S1.shex only -- no bus transaction"
103,DSP chip-select CS1 (fw.csv Dsp1),"tools/pi/d24_selftest.py --section B --only DC1-CS1,DC2-CS1",yes,no,yes,no,none,d24-testui (matrix-app STOPPED),shipping,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,2,"DC1-CS1: tools/pi/d24_selftest.py:873-890 -> _deassert :727 + _diag :717-719 | DC2-CS1: tools/pi/d24_selftest.py:892-910 -- dsp4_buildcfg.py + _diag; the S82 triple check at :908 is EVIDENCE ONLY, the verdict is CHIP_ID (:906)"
104,DSP chip-select CS2 (fw.csv Dsp2),"tools/pi/d24_selftest.py --section B --only DC1-CS2,DC2-CS2",yes,no,yes,no,none,d24-testui (matrix-app STOPPED),shipping,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,3,DC1-CS2: tools/pi/d24_selftest.py:873-890 | DC2-CS2: tools/pi/d24_selftest.py:892-910
105,DSP chip-select CS3 (fw.csv Dsp3),tools/pi/d24_selftest.py --section B --only DY1-RDY1,yes,no,yes,no,none,d24-testui (matrix-app STOPPED),shipping,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,12,"DY1-RDY1: tools/pi/d24_selftest.py:852-871 -> _rdy_cycle :824-850, which dips !RST_D and calls boot_pair() (:836); cached on the rig at :849"
106,DSP chip-select CS4 (fw.csv Dsp4),tools/pi/d24_selftest.py --section B --only DY1-RDY2,yes,no,yes,no,none,d24-testui (matrix-app STOPPED),shipping,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,0,DY1-RDY2: tools/pi/d24_selftest.py:852-871 -- reads the SAME cached _rdy_cycle (:825-827); one dip serves both chips (:800-805)
107,DSP chip-select CS6 (fw.csv Dsp6),"tools/pi/d24_selftest.py --section B --only DC1-CS6,DC2-CS6",no,no,no,no,none,d24-testui (matrix-app STOPPED),n/a,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,0,"DC1-CS6: tools/pi/d24_selftest.py:889 -> _dc_nodata :768-774 -- a dict lookup (:733-766), no read | DC2-CS6: tools/pi/d24_selftest.py:894 -> t_dc1 -> _dc_nodata"
108,DSP chip-select CS7 (fw.csv Dsp7),"tools/pi/d24_selftest.py --section B --only DC1-CS7,DC2-CS7",no,no,no,no,none,d24-testui (matrix-app STOPPED),n/a,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,0,DC1-CS7: tools/pi/d24_selftest.py:889 -> _dc_nodata :768-774 | DC2-CS7: tools/pi/d24_selftest.py:894 -> t_dc1 -> _dc_nodata
109,DSP chip-select CS8 (fw.csv Dsp8),"tools/pi/d24_selftest.py --section B --only DC1-CS8,DC2-CS8",no,no,no,no,none,d24-testui (matrix-app STOPPED),n/a,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,0,DC1-CS8: tools/pi/d24_selftest.py:889 -> _dc_nodata :768-774 | DC2-CS8: tools/pi/d24_selftest.py:894 -> t_dc1 -> _dc_nodata
110,DSP reset RST_D (fw.csv Reset),"tools/pi/d24_selftest.py --section B --only DR1,DR2",yes,no,yes,no,none,d24-testui (matrix-app STOPPED),shipping,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,19,"DR1: tools/pi/d24_selftest.py:912-936 needs an ADVANCING heartbeat before the pulse, i.e. the pair already booted -- main :2399 boots it unconditionally | DR2: tools/pi/d24_selftest.py:938-951 -- calls boot_pair() itself (:940) and rxscan (:945)"
111,Mic-gain chain latch CS_M (fw.csv MicGain),"tools/pi/d24_selftest.py --section B --only MC1,MC2,MC3",no,no,yes,no,armed,d24-testui (matrix-app STOPPED),n/a,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,2,"MC1: tools/pi/d24_selftest.py:958-965 -> _chain :953-956 -> /home/app/s55/s55_chain.py; CS_M is the latch and gates the U2 MISO read-back (:975-994, :1986-1998) | MC2: tools/pi/d24_selftest.py:967-973 -- writes SAFE_IMAGE (:101) and reads it back | MC3: tools/pi/d24_selftest.py:975-994 -- reads r._mc1_raw from MC1 and pinctrl get 27"
112,Codec select CS_C (fw.csv Codec),"tools/pi/d24_selftest.py --section B --only CC1,CC2",no,no,no,no,none,d24-testui (matrix-app STOPPED),n/a,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,3,"CC1: tools/pi/d24_selftest.py:1006-1014 -> _codec_read :996-1004 -> codec4619.py --read 05 on the H1S1 bus | CC2: tools/pi/d24_selftest.py:1016-1044; writes and restores 05H, caches r._cc1_val from CC1"
125,Right panel MCU link (fw.csv SW_RIGHT),"tools/pi/d24_selftest.py --section B --only ML-B0,ML-P1",no,no,no,no,none,d24-testui (matrix-app STOPPED),n/a,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,5,"ML-B0: tools/pi/d24_selftest.py:710-714 -- static NO DATA, no read at all | ML-P1: tools/pi/d24_selftest.py:702-703 -> _panel :685-700 -> _bus --mode stest"
126,Left panel MCU link (fw.csv SW_LEFT),"tools/pi/d24_selftest.py --section B --only ML-B0,ML-P2",no,no,no,no,none,d24-testui (matrix-app STOPPED),n/a,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,5,"ML-B0: tools/pi/d24_selftest.py:710-714 -- static NO DATA, no read at all | ML-P2: tools/pi/d24_selftest.py:706-707 -> _panel :685-700 -> _bus --mode stest"
127,Display link HDMI0 → TFT,"tools/pi/d24_selftest.py --section A --only HD0-1,HD0-2",no,no,no,no,none,either,n/a,none,no,no,nothing (the run never stops the app),1,3,HD0-1: tools/pi/d24_selftest.py:319-340 (sysfs status/edid/modes + kmsprint only); main :2366 is outside the app_stop at :2377 | HD0-2: tools/pi/d24_selftest.py:342-379 harvests /tmp/d24_hdsoak.log; the sampler is started at :2350-2364 and WIPED at :2352 on every press that names HD0-2
128,Ethernet (RJ45),"tools/pi/d24_selftest.py --section A --only NW1,NW2,NW3,NW4",no,no,no,no,none,either,n/a,none,no,no,nothing (the run never stops the app),1,302,"NW1: tools/pi/d24_selftest.py:392-406 ethtool + /sys/class/net/eth0/carrier | NW2: tools/pi/d24_selftest.py:414-458; needs r._nw2_before taken at :2371 BEFORE NW3, and sleeps 30 s for its own idle control (:439-442) | NW3: tools/pi/d24_selftest.py:460-525; ping -c 200 -i 0.2 x --nw3-runs (default 3, :2300) x 2 targets | NW4: tools/pi/d24_selftest.py:527-591; iperf3 server on the unit, 2 x 10 s"
