target,interval,pass,packets_tx,packets_rx,loss_pct,rtt_avg_ms
bench_host_192.168.1.211,0.2,1,200,184,8.0,
bench_host_192.168.1.211,0.2,2,200,182,9.0,
bench_host_192.168.1.211,0.2,3,200,185,7.5,
bench_host_192.168.1.211,0.2,4,200,181,9.5,
bench_host_192.168.1.211,0.2,5,200,183,8.5,
bench_host_192.168.1.211,0.1,1,200,187,6.5,
bench_host_192.168.1.211,0.1,2,200,182,9.0,
bench_host_192.168.1.211,0.1,3,200,179,10.5,
bench_host_192.168.1.211,0.1,4,200,185,7.5,
bench_host_192.168.1.211,0.1,5,200,186,7.0,
gateway_192.168.1.254,0.2,1,200,180,10.0,1.012
gateway_192.168.1.254,0.2,2,200,185,7.5,
gateway_192.168.1.254,0.2,3,200,186,7.0,
gateway_192.168.1.254,0.1,1,200,184,8.0,
gateway_192.168.1.254,0.1,2,200,180,10.0,
