station,station_name,check,panel_name,cls,category,kind,station_card,instruction,question,buttons,runner_measures,not_run_reason
1,Left switch panel,43,MONO AUX button,panel switch,not-run,blocked,"What you need in hand: a finger and an eye, at the left half of the front panel. 0 check(s) at this station.",,,,,the host cannot see this control or sense line change: this unit has no per-control read through the panel processors
1,Left switch panel,44,MONO AUX button LEDs (white pair),panel LED,not-run,blocked,"What you need in hand: a finger and an eye, at the left half of the front panel. 0 check(s) at this station.",,,,,the host cannot light one indicator at a time: this unit has no indicator drive for the panel processors
1,Left switch panel,45,STEREO AUX button,panel switch,not-run,blocked,"What you need in hand: a finger and an eye, at the left half of the front panel. 0 check(s) at this station.",,,,,the host cannot see this control or sense line change: this unit has no per-control read through the panel processors
1,Left switch panel,46,STEREO AUX button LEDs (white pair),panel LED,not-run,blocked,"What you need in hand: a finger and an eye, at the left half of the front panel. 0 check(s) at this station.",,,,,the host cannot light one indicator at a time: this unit has no indicator drive for the panel processors
1,Left switch panel,47,FX button,panel switch,not-run,blocked,"What you need in hand: a finger and an eye, at the left half of the front panel. 0 check(s) at this station.",,,,,the host cannot see this control or sense line change: this unit has no per-control read through the panel processors
1,Left switch panel,48,FX button LEDs (white pair),panel LED,not-run,blocked,"What you need in hand: a finger and an eye, at the left half of the front panel. 0 check(s) at this station.",,,,,the host cannot light one indicator at a time: this unit has no indicator drive for the panel processors
1,Left switch panel,49,EQ button,panel switch,not-run,blocked,"What you need in hand: a finger and an eye, at the left half of the front panel. 0 check(s) at this station.",,,,,the host cannot see this control or sense line change: this unit has no per-control read through the panel processors
1,Left switch panel,50,EQ button LEDs (white pair),panel LED,not-run,blocked,"What you need in hand: a finger and an eye, at the left half of the front panel. 0 check(s) at this station.",,,,,the host cannot light one indicator at a time: this unit has no indicator drive for the panel processors
1,Left switch panel,51,AUX ON FADERS button,panel switch,not-run,blocked,"What you need in hand: a finger and an eye, at the left half of the front panel. 0 check(s) at this station.",,,,,the host cannot see this control or sense line change: this unit has no per-control read through the panel processors
1,Left switch panel,52,AUX ON FADERS button LEDs (white pair),panel LED,not-run,blocked,"What you need in hand: a finger and an eye, at the left half of the front panel. 0 check(s) at this station.",,,,,the host cannot light one indicator at a time: this unit has no indicator drive for the panel processors
1,Left switch panel,53,OVERVIEW button,panel switch,not-run,blocked,"What you need in hand: a finger and an eye, at the left half of the front panel. 0 check(s) at this station.",,,,,the host cannot see this control or sense line change: this unit has no per-control read through the panel processors
1,Left switch panel,54,OVERVIEW button LEDs (white pair),panel LED,not-run,blocked,"What you need in hand: a finger and an eye, at the left half of the front panel. 0 check(s) at this station.",,,,,the host cannot light one indicator at a time: this unit has no indicator drive for the panel processors
1,Left switch panel,55,BOOT0 indicator LED,panel LED,not-run,blocked,"What you need in hand: a finger and an eye, at the left half of the front panel. 0 check(s) at this station.",,,,,the host cannot light one indicator at a time: this unit has no indicator drive for the panel processors
1,Left switch panel,58,Pedal UART through-path,panel control,not-run,blocked,"What you need in hand: a finger and an eye, at the left half of the front panel. 0 check(s) at this station.",,,,,the host cannot see this control or sense line change: this unit has no per-control read through the panel processors
2,Right switch panel,59,FX MUTE button,panel switch,not-run,blocked,"What you need in hand: a finger and an eye, at the right half of the front panel. 0 check(s) at this station.",,,,,the host cannot see this control or sense line change: this unit has no per-control read through the panel processors
2,Right switch panel,60,FX MUTE button LEDs (white pair),panel LED,not-run,blocked,"What you need in hand: a finger and an eye, at the right half of the front panel. 0 check(s) at this station.",,,,,the host cannot light one indicator at a time: this unit has no indicator drive for the panel processors
2,Right switch panel,61,FX MUTE red LEDs,panel LED,not-run,blocked,"What you need in hand: a finger and an eye, at the right half of the front panel. 0 check(s) at this station.",,,,,the host cannot light one indicator at a time: this unit has no indicator drive for the panel processors
2,Right switch panel,62,HOME button,panel switch,not-run,blocked,"What you need in hand: a finger and an eye, at the right half of the front panel. 0 check(s) at this station.",,,,,the host cannot see this control or sense line change: this unit has no per-control read through the panel processors
2,Right switch panel,63,HOME button LEDs (white pair),panel LED,not-run,blocked,"What you need in hand: a finger and an eye, at the right half of the front panel. 0 check(s) at this station.",,,,,the host cannot light one indicator at a time: this unit has no indicator drive for the panel processors
2,Right switch panel,64,MENU button,panel switch,not-run,blocked,"What you need in hand: a finger and an eye, at the right half of the front panel. 0 check(s) at this station.",,,,,the host cannot see this control or sense line change: this unit has no per-control read through the panel processors
2,Right switch panel,65,MENU button LEDs (white pair),panel LED,not-run,blocked,"What you need in hand: a finger and an eye, at the right half of the front panel. 0 check(s) at this station.",,,,,the host cannot light one indicator at a time: this unit has no indicator drive for the panel processors
2,Right switch panel,66,+48 button,panel switch,not-run,blocked,"What you need in hand: a finger and an eye, at the right half of the front panel. 0 check(s) at this station.",,,,,the host cannot see this control or sense line change: this unit has no per-control read through the panel processors
2,Right switch panel,67,+48 button LEDs (white pair),panel LED,not-run,blocked,"What you need in hand: a finger and an eye, at the right half of the front panel. 0 check(s) at this station.",,,,,the host cannot light one indicator at a time: this unit has no indicator drive for the panel processors
