port,dir,kind,catalog_row,panel_item,harness,loom,loop_partner,controls,buffer,phantom_sense
MIC 1,in,balanced,1,MIC 1,module 1 input 1,module 1 inputs DB25 ch1 (pins 24/12) -> XLR-M,AUX 1,TERM img[0].QA (module 1 byte 0); BCAST img[0].QB (module 1 byte 0); LOOP img[0].QC (module 1 byte 0),"module 1: BUFEN img[4].QA (module 1 byte 4), PAD0 img[4].QC (module 1 byte 4)","module 1 4051 Y0 (/PHEN img[4].QB (module 1 byte 4), PHS=0)"
MIC 2,in,balanced,2,MIC 2,module 1 input 2,module 1 inputs DB25 ch2 (pins 10/23) -> XLR-M,AUX 2,TERM img[0].QE (module 1 byte 0); BCAST img[0].QF (module 1 byte 0); LOOP img[0].QG (module 1 byte 0),"module 1: BUFEN img[4].QA (module 1 byte 4), PAD0 img[4].QC (module 1 byte 4)","module 1 4051 Y1 (/PHEN img[4].QB (module 1 byte 4), PHS=1)"
MIC 3,in,balanced,3,MIC 3,module 1 input 3,module 1 inputs DB25 ch3 (pins 21/9) -> XLR-M,AUX 3,TERM img[1].QA (module 1 byte 1); BCAST img[1].QB (module 1 byte 1); LOOP img[1].QC (module 1 byte 1),"module 1: BUFEN img[4].QA (module 1 byte 4), PAD0 img[4].QC (module 1 byte 4)","module 1 4051 Y2 (/PHEN img[4].QB (module 1 byte 4), PHS=2)"
MIC 4,in,balanced,4,MIC 4,module 1 input 4,module 1 inputs DB25 ch4 (pins 7/20) -> XLR-M,AUX 4,TERM img[1].QE (module 1 byte 1); BCAST img[1].QF (module 1 byte 1); LOOP img[1].QG (module 1 byte 1),"module 1: BUFEN img[4].QA (module 1 byte 4), PAD0 img[4].QC (module 1 byte 4)","module 1 4051 Y3 (/PHEN img[4].QB (module 1 byte 4), PHS=3)"
MIC 5,in,balanced,9,MIC 5,module 1 input 5,module 1 inputs DB25 ch5 (pins 18/6) -> XLR-M,AUX 5,TERM img[2].QA (module 1 byte 2); BCAST img[2].QB (module 1 byte 2); LOOP img[2].QC (module 1 byte 2),"module 1: BUFEN img[4].QA (module 1 byte 4), PAD0 img[4].QC (module 1 byte 4)","module 1 4051 Y4 (/PHEN img[4].QB (module 1 byte 4), PHS=4)"
MIC 6,in,balanced,10,MIC 6,module 1 input 6,module 1 inputs DB25 ch6 (pins 4/17) -> XLR-M,AUX 6,TERM img[2].QE (module 1 byte 2); BCAST img[2].QF (module 1 byte 2); LOOP img[2].QG (module 1 byte 2),"module 1: BUFEN img[4].QA (module 1 byte 4), PAD0 img[4].QC (module 1 byte 4)","module 1 4051 Y5 (/PHEN img[4].QB (module 1 byte 4), PHS=5)"
MIC 7,in,balanced,22,MIC 7,module 1 input 7,module 1 inputs DB25 ch7 (pins 15/3) -> XLR-M,AUX 7,TERM img[3].QA (module 1 byte 3); BCAST img[3].QB (module 1 byte 3); LOOP img[3].QC (module 1 byte 3),"module 1: BUFEN img[4].QA (module 1 byte 4), PAD0 img[4].QC (module 1 byte 4)","module 1 4051 Y6 (/PHEN img[4].QB (module 1 byte 4), PHS=6)"
MIC 8,in,balanced,23,MIC 8,module 1 input 8,module 1 inputs DB25 ch8 (pins 1/14) -> XLR-M,AUX 8,TERM img[3].QE (module 1 byte 3); BCAST img[3].QF (module 1 byte 3); LOOP img[3].QG (module 1 byte 3),"module 1: BUFEN img[4].QA (module 1 byte 4), PAD0 img[4].QC (module 1 byte 4)","module 1 4051 Y7 (/PHEN img[4].QB (module 1 byte 4), PHS=7)"
MIC 9,in,balanced,11,MIC 9,module 2 input 1,module 2 inputs DB25 ch1 (pins 24/12) -> XLR-M,MAIN L,TERM img[8].QA (module 2 byte 0); BCAST img[8].QB (module 2 byte 0); LOOP img[8].QC (module 2 byte 0),"module 2: BUFEN img[12].QA (module 2 byte 4), PAD0 img[12].QC (module 2 byte 4)","module 2 4051 Y0 (/PHEN img[12].QB (module 2 byte 4), PHS=0)"
MIC 10,in,balanced,12,MIC 10,module 2 input 2,module 2 inputs DB25 ch2 (pins 10/23) -> XLR-M,MAIN R,TERM img[8].QE (module 2 byte 0); BCAST img[8].QF (module 2 byte 0); LOOP img[8].QG (module 2 byte 0),"module 2: BUFEN img[12].QA (module 2 byte 4), PAD0 img[12].QC (module 2 byte 4)","module 2 4051 Y1 (/PHEN img[12].QB (module 2 byte 4), PHS=1)"
MIC 11,in,balanced,13,MIC 11,module 2 input 3,module 2 inputs DB25 ch3 (pins 21/9) -> XLR-M,C/LF,TERM img[9].QA (module 2 byte 1); BCAST img[9].QB (module 2 byte 1); LOOP img[9].QC (module 2 byte 1),"module 2: BUFEN img[12].QA (module 2 byte 4), PAD0 img[12].QC (module 2 byte 4)","module 2 4051 Y2 (/PHEN img[12].QB (module 2 byte 4), PHS=2)"
MIC 12,in,balanced,14,MIC 12,module 2 input 4,module 2 inputs DB25 ch4 (pins 7/20) -> XLR-M,MONITOR L,TERM img[9].QE (module 2 byte 1); BCAST img[9].QF (module 2 byte 1); LOOP img[9].QG (module 2 byte 1),"module 2: BUFEN img[12].QA (module 2 byte 4), PAD0 img[12].QC (module 2 byte 4)","module 2 4051 Y3 (/PHEN img[12].QB (module 2 byte 4), PHS=3)"
MIC 13,in,balanced,5,MIC 13,module 2 input 5,module 2 inputs DB25 ch5 (pins 18/6) -> XLR-M,MONITOR R,TERM img[10].QA (module 2 byte 2); BCAST img[10].QB (module 2 byte 2); LOOP img[10].QC (module 2 byte 2),"module 2: BUFEN img[12].QA (module 2 byte 4), PAD0 img[12].QC (module 2 byte 4)","module 2 4051 Y4 (/PHEN img[12].QB (module 2 byte 4), PHS=4)"
MIC 14,in,balanced,6,MIC 14,module 2 input 6,module 2 inputs DB25 ch6 (pins 4/17) -> XLR-M,PHONES L,TERM img[10].QE (module 2 byte 2); BCAST img[10].QF (module 2 byte 2); LOOP img[10].QG (module 2 byte 2),"module 2: BUFEN img[12].QA (module 2 byte 4), PAD0 img[12].QC (module 2 byte 4)","module 2 4051 Y5 (/PHEN img[12].QB (module 2 byte 4), PHS=5)"
MIC 15,in,balanced,7,MIC 15,module 2 input 7,module 2 inputs DB25 ch7 (pins 15/3) -> XLR-M,PHONES R,TERM img[11].QA (module 2 byte 3); BCAST img[11].QB (module 2 byte 3); LOOP img[11].QC (module 2 byte 3),"module 2: BUFEN img[12].QA (module 2 byte 4), PAD0 img[12].QC (module 2 byte 4)","module 2 4051 Y6 (/PHEN img[12].QB (module 2 byte 4), PHS=6)"
MIC 16,in,balanced,8,MIC 16,module 2 input 8,module 2 inputs DB25 ch8 (pins 1/14) -> XLR-M,,TERM img[11].QE (module 2 byte 3); BCAST img[11].QF (module 2 byte 3); LOOP img[11].QG (module 2 byte 3),"module 2: BUFEN img[12].QA (module 2 byte 4), PAD0 img[12].QC (module 2 byte 4)","module 2 4051 Y7 (/PHEN img[12].QB (module 2 byte 4), PHS=7)"
MIC 17,in,balanced,15,MIC 17,module 3 input 1,module 3 inputs DB25 ch1 (pins 24/12) -> XLR-M,AUX A 1-2 L,TERM img[16].QA (module 3 byte 0); BCAST img[16].QB (module 3 byte 0); LOOP img[16].QC (module 3 byte 0),"module 3: BUFEN img[20].QA (module 3 byte 4), PAD0 img[20].QC (module 3 byte 4)","module 3 4051 Y0 (/PHEN img[20].QB (module 3 byte 4), PHS=0)"
MIC 18,in,balanced,16,MIC 18,module 3 input 2,module 3 inputs DB25 ch2 (pins 10/23) -> XLR-M,AUX A 1-2 R,TERM img[16].QE (module 3 byte 0); BCAST img[16].QF (module 3 byte 0); LOOP img[16].QG (module 3 byte 0),"module 3: BUFEN img[20].QA (module 3 byte 4), PAD0 img[20].QC (module 3 byte 4)","module 3 4051 Y1 (/PHEN img[20].QB (module 3 byte 4), PHS=1)"
MIC 19,in,balanced,17,MIC 19,module 3 input 3,module 3 inputs DB25 ch3 (pins 21/9) -> XLR-M,AUX A 3-4 L,TERM img[17].QA (module 3 byte 1); BCAST img[17].QB (module 3 byte 1); LOOP img[17].QC (module 3 byte 1),"module 3: BUFEN img[20].QA (module 3 byte 4), PAD0 img[20].QC (module 3 byte 4)","module 3 4051 Y2 (/PHEN img[20].QB (module 3 byte 4), PHS=2)"
MIC 20,in,balanced,24,MIC 20,module 3 input 4,module 3 inputs DB25 ch4 (pins 7/20) -> XLR-M,AUX A 3-4 R,TERM img[17].QE (module 3 byte 1); BCAST img[17].QF (module 3 byte 1); LOOP img[17].QG (module 3 byte 1),"module 3: BUFEN img[20].QA (module 3 byte 4), PAD0 img[20].QC (module 3 byte 4)","module 3 4051 Y3 (/PHEN img[20].QB (module 3 byte 4), PHS=3)"
MIC 21,in,balanced,18,MIC 21,module 3 input 5,module 3 inputs DB25 ch5 (pins 18/6) -> XLR-M,AUX A 5-6 L,TERM img[18].QA (module 3 byte 2); BCAST img[18].QB (module 3 byte 2); LOOP img[18].QC (module 3 byte 2),"module 3: BUFEN img[20].QA (module 3 byte 4), PAD0 img[20].QC (module 3 byte 4)","module 3 4051 Y4 (/PHEN img[20].QB (module 3 byte 4), PHS=4)"
MIC 22,in,balanced,19,MIC 22,module 3 input 6,module 3 inputs DB25 ch6 (pins 4/17) -> XLR-M,AUX A 5-6 R,TERM img[18].QE (module 3 byte 2); BCAST img[18].QF (module 3 byte 2); LOOP img[18].QG (module 3 byte 2),"module 3: BUFEN img[20].QA (module 3 byte 4), PAD0 img[20].QC (module 3 byte 4)","module 3 4051 Y5 (/PHEN img[20].QB (module 3 byte 4), PHS=5)"
MIC 23,in,balanced,20,MIC 23,module 3 input 7,module 3 inputs DB25 ch7 (pins 15/3) -> XLR-M,AUX A 7-8 L,TERM img[19].QA (module 3 byte 3); BCAST img[19].QB (module 3 byte 3); LOOP img[19].QC (module 3 byte 3),"module 3: BUFEN img[20].QA (module 3 byte 4), PAD0 img[20].QC (module 3 byte 4)","module 3 4051 Y6 (/PHEN img[20].QB (module 3 byte 4), PHS=6)"
MIC 24,in,balanced,21,MIC 24,module 3 input 8,module 3 inputs DB25 ch8 (pins 1/14) -> XLR-M,AUX A 7-8 R,TERM img[19].QE (module 3 byte 3); BCAST img[19].QF (module 3 byte 3); LOOP img[19].QG (module 3 byte 3),"module 3: BUFEN img[20].QA (module 3 byte 4), PAD0 img[20].QC (module 3 byte 4)","module 3 4051 Y7 (/PHEN img[20].QB (module 3 byte 4), PHS=7)"
TALKBACK,in,balanced,38,Talkback TB (XLR),control board,aux DB25 ch1 -> XLR-M,,TERM GP7; BCAST GP8; SHORT GP9,"control: BUFEN GP18, PAD0 GP19",ADC1 (GP27)
MINI-JACK 1 L,in,unbalanced tip,95,"Mini-jack 1 (3.5 mm, Mini Jack sub-assembly)",control board,aux DB25 ch2 hot -> 3.5 TRS 'MINI-JACK 1' tip,,TERM GP10; BCAST GP11,"control: BUFEN GP18, PAD0 GP19",
MINI-JACK 1 R,in,unbalanced ring,95,"Mini-jack 1 (3.5 mm, Mini Jack sub-assembly)",control board,aux DB25 ch3 hot -> same plug's ring,,TERM GP12; BCAST GP13,"control: BUFEN GP18, PAD0 GP19",
MINI-JACK 2 L,in,unbalanced tip,96,"Mini-jack 2 (3.5 mm, Mini Jack sub-assembly)",control board,aux DB25 ch4 hot -> 3.5 TRS 'MINI-JACK 2' tip,,TERM GP14; BCAST GP15,"control: BUFEN GP18, PAD0 GP19",
MINI-JACK 2 R,in,unbalanced ring,96,"Mini-jack 2 (3.5 mm, Mini Jack sub-assembly)",control board,aux DB25 ch5 hot -> same plug's ring,,TERM GP16; BCAST GP17,"control: BUFEN GP18, PAD0 GP19",
AUX 1,out,balanced,25,Aux Out A1 (doubles as Monitor 1),module 1 output 1,module 1 outputs DB25 ch1 (pins 24/12) -> XLR-F,MIC 1,SEL img[0].QD (module 1 byte 0),,
AUX 2,out,balanced,26,Aux Out A2,module 1 output 2,module 1 outputs DB25 ch2 (pins 10/23) -> XLR-F,MIC 2,SEL img[0].QH (module 1 byte 0),,
AUX 3,out,balanced,27,Aux Out A3,module 1 output 3,module 1 outputs DB25 ch3 (pins 21/9) -> XLR-F,MIC 3,SEL img[1].QD (module 1 byte 1),,
AUX 4,out,balanced,28,Aux Out A4,module 1 output 4,module 1 outputs DB25 ch4 (pins 7/20) -> XLR-F,MIC 4,SEL img[1].QH (module 1 byte 1),,
AUX 5,out,balanced,29,Aux Out A5,module 1 output 5,module 1 outputs DB25 ch5 (pins 18/6) -> XLR-F,MIC 5,SEL img[2].QD (module 1 byte 2),,
AUX 6,out,balanced,30,Aux Out A6,module 1 output 6,module 1 outputs DB25 ch6 (pins 4/17) -> XLR-F,MIC 6,SEL img[2].QH (module 1 byte 2),,
AUX 7,out,balanced,31,Aux Out A7,module 1 output 7,module 1 outputs DB25 ch7 (pins 15/3) -> XLR-F,MIC 7,SEL img[3].QD (module 1 byte 3),,
AUX 8,out,balanced,32,Aux Out A8,module 1 output 8,module 1 outputs DB25 ch8 (pins 1/14) -> XLR-F,MIC 8,SEL img[3].QH (module 1 byte 3),,
MAIN L,out,balanced,33,Main Out L,module 2 output 1,module 2 outputs DB25 ch1 (pins 24/12) -> XLR-F,MIC 9,SEL img[8].QD (module 2 byte 0),,
MAIN R,out,balanced,34,Main Out R,module 2 output 2,module 2 outputs DB25 ch2 (pins 10/23) -> XLR-F,MIC 10,SEL img[8].QH (module 2 byte 0),,
C/LF,out,balanced,35,Center/LF Out,module 2 output 3,module 2 outputs DB25 ch3 (pins 21/9) -> XLR-F,MIC 11,SEL img[9].QD (module 2 byte 1),,
MONITOR L,out,unbalanced,36,"Monitor Out L (TRS, unbalanced)",module 2 output 4,"module 2 outputs DB25 ch4 (pins 7/20) -> 6.35 TRS: tip->hot, ring+sleeve->cold",MIC 12,SEL img[9].QH (module 2 byte 1),,
MONITOR R,out,unbalanced,37,"Monitor Out R (TRS, unbalanced)",module 2 output 5,"module 2 outputs DB25 ch5 (pins 18/6) -> 6.35 TRS: tip->hot, ring+sleeve->cold",MIC 13,SEL img[10].QD (module 2 byte 2),,
PHONES L,out,unbalanced tip,97,Phones 1 (headphone jack),module 2 output 6,"module 2 outputs DB25 ch6 (pins 4/17) -> 6.35 TRS 'PHONES': tip->hot, sleeve->cold",MIC 14,SEL img[10].QH (module 2 byte 2),,
PHONES R,out,unbalanced ring,97,Phones 1 (headphone jack),module 2 output 7,"module 2 outputs DB25 ch7 (pins 15/3) -> same 6.35 TRS 'PHONES': ring->hot, sleeve->cold",MIC 15,SEL img[11].QD (module 2 byte 3),,
AUX A 1-2 L,out,unbalanced tip,39,"Aux Out A 1-2 (TRS, Phone Jack sub-assembly)",module 3 output 1,"module 3 outputs DB25 ch1 (pins 24/12) -> 6.35 TRS 'AUX A 1-2': tip->hot, sleeve->cold",MIC 17,SEL img[16].QD (module 3 byte 0),,
AUX A 1-2 R,out,unbalanced ring,39,"Aux Out A 1-2 (TRS, Phone Jack sub-assembly)",module 3 output 2,"module 3 outputs DB25 ch2 (pins 10/23) -> same 6.35 TRS 'AUX A 1-2': ring->hot, sleeve->cold",MIC 18,SEL img[16].QH (module 3 byte 0),,
AUX A 3-4 L,out,unbalanced tip,40,"Aux Out A 3-4 (TRS, Phone Jack sub-assembly)",module 3 output 3,"module 3 outputs DB25 ch3 (pins 21/9) -> 6.35 TRS 'AUX A 3-4': tip->hot, sleeve->cold",MIC 19,SEL img[17].QD (module 3 byte 1),,
AUX A 3-4 R,out,unbalanced ring,40,"Aux Out A 3-4 (TRS, Phone Jack sub-assembly)",module 3 output 4,"module 3 outputs DB25 ch4 (pins 7/20) -> same 6.35 TRS 'AUX A 3-4': ring->hot, sleeve->cold",MIC 20,SEL img[17].QH (module 3 byte 1),,
AUX A 5-6 L,out,unbalanced tip,41,"Aux Out A 5-6 (TRS, Phone Jack sub-assembly)",module 3 output 5,"module 3 outputs DB25 ch5 (pins 18/6) -> 6.35 TRS 'AUX A 5-6': tip->hot, sleeve->cold",MIC 21,SEL img[18].QD (module 3 byte 2),,
AUX A 5-6 R,out,unbalanced ring,41,"Aux Out A 5-6 (TRS, Phone Jack sub-assembly)",module 3 output 6,"module 3 outputs DB25 ch6 (pins 4/17) -> same 6.35 TRS 'AUX A 5-6': ring->hot, sleeve->cold",MIC 22,SEL img[18].QH (module 3 byte 2),,
AUX A 7-8 L,out,unbalanced tip,42,"Aux Out A 7-8 (TRS, Phone Jack sub-assembly)",module 3 output 7,"module 3 outputs DB25 ch7 (pins 15/3) -> 6.35 TRS 'AUX A 7-8': tip->hot, sleeve->cold",MIC 23,SEL img[19].QD (module 3 byte 3),,
AUX A 7-8 R,out,unbalanced ring,42,"Aux Out A 7-8 (TRS, Phone Jack sub-assembly)",module 3 output 8,"module 3 outputs DB25 ch8 (pins 1/14) -> same 6.35 TRS 'AUX A 7-8': ring->hot, sleeve->cold",MIC 24,SEL img[19].QH (module 3 byte 3),,
