path,patch,lead,out,in,sub,rows,verdict,why,detail,h_db,h_deg,thd_db,noise_db,rms_db
1,P1,K1,AUX 1,MIC 1,,1 25,PASS,the tone arrived on MIC 1 and nowhere else,"this reading is now MIC 1's balanced reference: -3.00 dB, 42.0 deg; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
2,P2,K1,AUX 2,MIC 2,,2 26,PASS,the tone arrived on MIC 2 and nowhere else,"this reading is now MIC 2's balanced reference: -3.00 dB, 42.0 deg; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
3,P3,K1,AUX 3,MIC 3,,3 27,PASS,the tone arrived on MIC 3 and nowhere else,"this reading is now MIC 3's balanced reference: -3.00 dB, 42.0 deg; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
4,P4,K1,AUX 4,MIC 4,,4 28,PASS,the tone arrived on MIC 4 and nowhere else,"this reading is now MIC 4's balanced reference: -3.00 dB, 42.0 deg; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
5,P5,K1,AUX 5,MIC 5,,9 29,PASS,the tone arrived on MIC 5 and nowhere else,"this reading is now MIC 5's balanced reference: -3.00 dB, 42.0 deg; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
6,P6,K1,AUX 6,MIC 6,,10 30,PASS,the tone arrived on MIC 6 and nowhere else,"this reading is now MIC 6's balanced reference: -3.00 dB, 42.0 deg; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
7,P7,K1,AUX 7,MIC 7,,22 31,PASS,the tone arrived on MIC 7 and nowhere else,"this reading is now MIC 7's balanced reference: -3.00 dB, 42.0 deg; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
8,P8,K1,AUX 8,MIC 8,,23 32,PASS,the tone arrived on MIC 8 and nowhere else,"this reading is now MIC 8's balanced reference: -3.00 dB, 42.0 deg; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
9,P9,K1,MAIN L,MIC 9,,11 33,NO DATA,no tone reached MIC 9 after 3 attempts,,,,,,
10,P10,K1,MAIN R,MIC 10,,12 34,PASS,the tone arrived on MIC 10 and nowhere else,"this reading is now MIC 10's balanced reference: -3.00 dB, 42.0 deg; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
