# patch-paths.csv -- GENERATED by tools/accept/gen_patch_paths.py (S121). Do not edit.
# ONE row per measurement. Rows sharing a `patch` id are sub-tests of ONE physical
# connection and the operator is prompted once for the lot.
#   lead        which of the five kit leads this patch uses (see patch-plan.md)
#   out / in    D24 PANEL names. J numbers belong in records, never in a prompt
#   drive       which bus the oscillator is routed to: the `route` column's cells do it
#   lane        MeasChan: 1..24 a strip, 51/53/55 the codec return lanes
#   donor       the strip the oscillator replaces (never the lane under test)
#   expect      tone = a tone must be there; null = it must cancel; noise = no tone at all
#   level_ref   ref = this reading SETS the lane's balanced reference
#               single = about -6.02 dB under that reference (one leg of a balanced pair)
#               null   = at or below -30 dB relative to the same jack's single-ended reading
#               ein    = the input noise window, limits.csv t4b_ein_max_dbu
#               info   = measured and reported, not judged (no window ruled yet)
#   polarity    ref = sets the lane's reference phase; normal/inverted = against it;
#               info = reported only; - = not applicable
path,patch,lead,block,out,in,sub,drive,lane,donor,route,freq_hz,level_dbfs,expect,level_ref,polarity,rows,prompt,note
1,P1,K1,the microphone inputs,AUX 1,MIC 1,,aux:1,1,24,aux1@24,1000.0,-12.0,tone,ref,ref,1 25,Patch AUX 1 to MIC 1,
2,P2,K1,the microphone inputs,AUX 2,MIC 2,,aux:2,2,24,aux2@24,1000.0,-12.0,tone,ref,ref,2 26,Patch AUX 2 to MIC 2,
3,P3,K1,the microphone inputs,AUX 3,MIC 3,,aux:3,3,24,aux3@24,1000.0,-12.0,tone,ref,ref,3 27,Patch AUX 3 to MIC 3,
4,P4,K1,the microphone inputs,AUX 4,MIC 4,,aux:4,4,24,aux4@24,1000.0,-12.0,tone,ref,ref,4 28,Patch AUX 4 to MIC 4,
5,P5,K1,the microphone inputs,AUX 5,MIC 5,,aux:5,5,24,aux5@24,1000.0,-12.0,tone,ref,ref,9 29,Patch AUX 5 to MIC 5,
6,P6,K1,the microphone inputs,AUX 6,MIC 6,,aux:6,6,24,aux6@24,1000.0,-12.0,tone,ref,ref,10 30,Patch AUX 6 to MIC 6,
7,P7,K1,the microphone inputs,AUX 7,MIC 7,,aux:7,7,24,aux7@24,1000.0,-12.0,tone,ref,ref,22 31,Patch AUX 7 to MIC 7,
8,P8,K1,the microphone inputs,AUX 8,MIC 8,,aux:8,8,24,aux8@24,1000.0,-12.0,tone,ref,ref,23 32,Patch AUX 8 to MIC 8,
9,P9,K1,the microphone inputs,MAIN L,MIC 9,,main:L,9,24,mainL@24,1000.0,-12.0,tone,ref,ref,11 33,Patch MAIN L to MIC 9,
10,P10,K1,the microphone inputs,MAIN R,MIC 10,,main:R,10,24,mainR@24,1000.0,-12.0,tone,ref,ref,12 34,Patch MAIN R to MIC 10,
11,P11,K1,the microphone inputs,AUX 1,MIC 11,,aux:1,11,24,aux1@24,1000.0,-12.0,tone,ref,ref,13 25,Patch AUX 1 to MIC 11,
12,P12,K1,the microphone inputs,AUX 1,MIC 12,,aux:1,12,24,aux1@24,1000.0,-12.0,tone,ref,ref,14 25,Patch AUX 1 to MIC 12,
13,P13,K1,the microphone inputs,AUX 1,MIC 13,,aux:1,13,24,aux1@24,1000.0,-12.0,tone,ref,ref,5 25,Patch AUX 1 to MIC 13,
14,P14,K1,the microphone inputs,AUX 1,MIC 14,,aux:1,14,24,aux1@24,1000.0,-12.0,tone,ref,ref,6 25,Patch AUX 1 to MIC 14,
15,P15,K1,the microphone inputs,AUX 1,MIC 15,,aux:1,15,24,aux1@24,1000.0,-12.0,tone,ref,ref,7 25,Patch AUX 1 to MIC 15,
16,P16,K1,the microphone inputs,AUX 1,MIC 16,,aux:1,16,24,aux1@24,1000.0,-12.0,tone,ref,ref,8 25,Patch AUX 1 to MIC 16,
17,P17,K1,the microphone inputs,AUX 1,MIC 17,,aux:1,17,24,aux1@24,1000.0,-12.0,tone,ref,ref,15 25,Patch AUX 1 to MIC 17,
18,P18,K1,the microphone inputs,AUX 1,MIC 18,,aux:1,18,24,aux1@24,1000.0,-12.0,tone,ref,ref,16 25,Patch AUX 1 to MIC 18,
19,P19,K1,the microphone inputs,AUX 1,MIC 19,,aux:1,19,24,aux1@24,1000.0,-12.0,tone,ref,ref,17 25,Patch AUX 1 to MIC 19,
20,P20,K1,the microphone inputs,AUX 1,MIC 20,,aux:1,20,24,aux1@24,1000.0,-12.0,tone,ref,ref,24 25,Patch AUX 1 to MIC 20,
