# patch-paths.csv -- GENERATED by tools/accept/gen_patch_paths.py (S121). Do not edit.
# ONE row per measurement. Rows sharing a `patch` id are sub-tests of ONE physical
# connection and the operator is prompted once for the lot.
#   lead        which of the five kit leads this patch uses (see patch-plan.md)
#   out / in    D24 PANEL names. J numbers belong in records, never in a prompt
#   drive       which bus the oscillator is routed to: the `route` column's cells do it
#   lane        MeasChan: 1..24 a strip, 51/53/55 the codec return lanes
#   donor       the strip the oscillator replaces (never the lane under test)
#   expect      tone = a tone must be there; null = it must cancel; noise = no tone at all
#   level_ref   ref = this reading SETS the lane's balanced reference
#               single = about -6.02 dB under that reference (one leg of a balanced pair)
#               null   = at or below -30 dB relative to the same jack's single-ended reading
#               ein    = the input noise window, limits.csv t4b_ein_max_dbu
#               info   = measured and reported, not judged (no window ruled yet)
#   polarity    ref = sets the lane's reference phase; normal/inverted = against it;
#               info = reported only; - = not applicable
path,patch,lead,block,out,in,sub,drive,lane,donor,route,freq_hz,level_dbfs,expect,level_ref,polarity,rows,prompt,note
1,P1,K1,the microphone inputs,AUX 5,MIC 5,,aux:5,5,24,aux5@24,1000.0,-12.0,tone,ref,ref,9 29,Patch AUX 5 to MIC 5,
2,P2,K1,the microphone inputs,AUX 6,MIC 6,,aux:6,6,24,aux6@24,1000.0,-12.0,tone,ref,ref,10 30,Patch AUX 6 to MIC 6,
3,P3,K1,the microphone inputs,AUX 7,MIC 7,,aux:7,7,24,aux7@24,1000.0,-12.0,tone,ref,ref,22 31,Patch AUX 7 to MIC 7,
4,P4,K1,the microphone inputs,AUX 8,MIC 8,,aux:8,8,24,aux8@24,1000.0,-12.0,tone,ref,ref,23 32,Patch AUX 8 to MIC 8,
5,P5,K1,the microphone inputs,MAIN L,MIC 9,,main:L,9,24,mainL@24,1000.0,-12.0,tone,ref,ref,11 33,Patch MAIN L to MIC 9,
6,P6,K1,the microphone inputs,MAIN R,MIC 10,,main:R,10,24,mainR@24,1000.0,-12.0,tone,ref,ref,12 34,Patch MAIN R to MIC 10,
7,P7,K1,the microphone inputs,AUX 2,MIC 11,,aux:2,11,24,aux2@24,1000.0,-12.0,tone,ref,ref,13 26,Patch AUX 2 to MIC 11,
8,P8,K1,the microphone inputs,AUX 3,MIC 12,,aux:3,12,24,aux3@24,1000.0,-12.0,tone,ref,ref,14 27,Patch AUX 3 to MIC 12,
9,P9,K1,the microphone inputs,AUX 4,MIC 17,,aux:4,17,24,aux4@24,1000.0,-12.0,tone,ref,ref,15 28,Patch AUX 4 to MIC 17,
10,P10,K1,the microphone inputs,AUX 1,MIC 18,,aux:1,18,24,aux1@24,1000.0,-12.0,tone,ref,ref,16 25,Patch AUX 1 to MIC 18,
11,P11,K1,the microphone inputs,AUX 1,MIC 19,,aux:1,19,24,aux1@24,1000.0,-12.0,tone,ref,ref,17 25,Patch AUX 1 to MIC 19,
12,P12,K1,the microphone inputs,AUX 1,MIC 20,,aux:1,20,24,aux1@24,1000.0,-12.0,tone,ref,ref,24 25,Patch AUX 1 to MIC 20,
13,P13,K1,the microphone inputs,AUX 1,MIC 21,,aux:1,21,24,aux1@24,1000.0,-12.0,tone,ref,ref,18 25,Patch AUX 1 to MIC 21,
14,P14,K1,the microphone inputs,AUX 1,MIC 22,,aux:1,22,24,aux1@24,1000.0,-12.0,tone,ref,ref,19 25,Patch AUX 1 to MIC 22,
15,P15,K1,the microphone inputs,AUX 1,MIC 23,,aux:1,23,24,aux1@24,1000.0,-12.0,tone,ref,ref,20 25,Patch AUX 1 to MIC 23,
16,P16,K1,the microphone inputs,AUX 1,MIC 24,,aux:1,24,1,aux1@1,1000.0,-12.0,tone,ref,ref,21 25,Patch AUX 1 to MIC 24,
17,P17,K1,the microphone inputs,AUX 1,TALKBACK,,aux:1,53,24,aux1@24,1000.0,-12.0,tone,info,info,25 38,Patch AUX 1 to TALKBACK,"the talkback XLR is on the AK4619 codec, not the mic preamps: a different gain law and about 23 dB more noise (S70), so its level is reported and not judged until PW rules a window"
18,P18,K5,the input noise rows,,MIC 5,,none,5,24,none@24,,,noise,ein,-,9,Fit the 150 ohm terminator in MIC 5,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
19,P19,K5,the input noise rows,,MIC 6,,none,6,24,none@24,,,noise,ein,-,10,Fit the 150 ohm terminator in MIC 6,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
20,P20,K5,the input noise rows,,MIC 7,,none,7,24,none@24,,,noise,ein,-,22,Fit the 150 ohm terminator in MIC 7,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
21,P21,K5,the input noise rows,,MIC 8,,none,8,24,none@24,,,noise,ein,-,23,Fit the 150 ohm terminator in MIC 8,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
22,P22,K5,the input noise rows,,MIC 9,,none,9,24,none@24,,,noise,ein,-,11,Fit the 150 ohm terminator in MIC 9,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
23,P23,K5,the input noise rows,,MIC 10,,none,10,24,none@24,,,noise,ein,-,12,Fit the 150 ohm terminator in MIC 10,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
24,P24,K5,the input noise rows,,MIC 11,,none,11,24,none@24,,,noise,ein,-,13,Fit the 150 ohm terminator in MIC 11,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
25,P25,K5,the input noise rows,,MIC 12,,none,12,24,none@24,,,noise,ein,-,14,Fit the 150 ohm terminator in MIC 12,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
26,P26,K5,the input noise rows,,MIC 17,,none,17,24,none@24,,,noise,ein,-,15,Fit the 150 ohm terminator in MIC 17,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
27,P27,K5,the input noise rows,,MIC 18,,none,18,24,none@24,,,noise,ein,-,16,Fit the 150 ohm terminator in MIC 18,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
28,P28,K5,the input noise rows,,MIC 19,,none,19,24,none@24,,,noise,ein,-,17,Fit the 150 ohm terminator in MIC 19,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
29,P29,K5,the input noise rows,,MIC 20,,none,20,24,none@24,,,noise,ein,-,24,Fit the 150 ohm terminator in MIC 20,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
30,P30,K5,the input noise rows,,MIC 21,,none,21,24,none@24,,,noise,ein,-,18,Fit the 150 ohm terminator in MIC 21,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
31,P31,K5,the input noise rows,,MIC 22,,none,22,24,none@24,,,noise,ein,-,19,Fit the 150 ohm terminator in MIC 22,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
32,P32,K5,the input noise rows,,MIC 23,,none,23,24,none@24,,,noise,ein,-,20,Fit the 150 ohm terminator in MIC 23,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
33,P33,K5,the input noise rows,,MIC 24,,none,24,1,none@1,,,noise,ein,-,21,Fit the 150 ohm terminator in MIC 24,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
34,P34,K4,the line inputs,AUX 1,MIC 5 line,,aux:1,5,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 5,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
35,P35,K4,the line inputs,AUX 1,MIC 6 line,,aux:1,6,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 6,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
36,P36,K4,the line inputs,AUX 1,MIC 7 line,,aux:1,7,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 7,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
37,P37,K4,the line inputs,AUX 1,MIC 8 line,,aux:1,8,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 8,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
38,P38,K4,the line inputs,AUX 1,MIC 9 line,,aux:1,9,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 9,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
39,P39,K4,the line inputs,AUX 1,MIC 10 line,,aux:1,10,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 10,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
40,P40,K4,the line inputs,AUX 1,MIC 11 line,,aux:1,11,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 11,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
41,P41,K4,the line inputs,AUX 1,MIC 12 line,,aux:1,12,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 12,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
42,P42,K4,the line inputs,AUX 1,MIC 17 line,,aux:1,17,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 17,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
