code  0 f     20 osc  -20.00  loop RMS   -17.84  coh  +5.164 dB   -172.8 deg  THD+N  -80.85   | digital ref RMS  -22.933 coh -0.000  (settle 8 windows, spread 0.000 dB)
code  0 f     50 osc  -20.00  loop RMS   -17.47  coh  +5.528 dB    154.4 deg  THD+N  -80.42   | digital ref RMS  -22.978 coh -0.000  (settle 8 windows, spread 0.000 dB)
code  0 f    100 osc  -20.00  loop RMS   -17.42  coh  +5.590 dB    115.8 deg  THD+N  -82.20   | digital ref RMS  -22.996 coh -0.000  (settle 4 windows, spread 0.000 dB)
code  0 f    200 osc  -20.00  loop RMS   -17.40  coh  +5.607 dB     45.0 deg  THD+N  -71.48   | digital ref RMS  -23.009 coh +0.000  (settle 4 windows, spread 0.000 dB)
code  0 f    500 osc  -20.00  loop RMS   -17.40  coh  +5.605 dB   -162.0 deg  THD+N  -78.00   | digital ref RMS  -23.010 coh +0.000  (settle 4 windows, spread 0.000 dB)
code  0 f   1000 osc  -20.00  loop RMS   -17.43  coh  +5.578 dB   -145.2 deg  THD+N  -82.76   | digital ref RMS  -23.010 coh +0.000  (settle 4 windows, spread 0.000 dB)
code  0 f   2000 osc  -20.00  loop RMS   -17.43  coh  +5.576 dB   -110.8 deg  THD+N  -87.04   | digital ref RMS  -23.010 coh +0.000  (settle 4 windows, spread 0.000 dB)
code  0 f   5000 osc  -20.00  loop RMS   -17.44  coh  +5.572 dB     -9.3 deg  THD+N  -86.70   | digital ref RMS  -23.010 coh -0.000  (settle 4 windows, spread 0.000 dB)
code  0 f  10000 osc  -20.00  loop RMS   -17.37  coh  +5.639 dB    149.0 deg  THD+N  -86.58   | digital ref RMS  -23.010 coh +0.000  (settle 4 windows, spread 0.000 dB)
code  0 f  15000 osc  -20.00  loop RMS   -17.45  coh  +5.559 dB    -83.9 deg  THD+N  -86.43   | digital ref RMS  -23.010 coh +0.000  (settle 4 windows, spread 0.000 dB)
code  0 f  20000 osc  -20.00  loop RMS   -17.55  coh  +5.461 dB    -41.8 deg  THD+N  -86.31   | digital ref RMS  -23.010 coh +0.000  (settle 4 windows, spread 0.000 dB)
code 16 f     20 osc  -61.59  loop RMS   -18.02  coh +46.572 dB   -163.8 deg  THD+N  -23.66  (settle 8 windows, spread 0.207 dB)
code 16 f     50 osc  -61.59  loop RMS   -17.52  coh +47.070 dB    158.2 deg  THD+N  -47.22  (settle 8 windows, spread 0.004 dB)
code 16 f    100 osc  -61.59  loop RMS   -17.46  coh +47.161 dB    117.8 deg  THD+N  -47.75  (settle 4 windows, spread 0.003 dB)
code 16 f    200 osc  -61.59  loop RMS   -17.40  coh +47.191 dB     46.0 deg  THD+N  -47.72  (settle 4 windows, spread 0.000 dB)
code 16 f    500 osc  -61.59  loop RMS   -17.40  coh +47.196 dB   -161.7 deg  THD+N  -47.77  (settle 4 windows, spread 0.000 dB)
code 16 f   1000 osc  -61.59  loop RMS   -17.43  coh +47.170 dB   -145.1 deg  THD+N  -47.87  (settle 4 windows, spread 0.001 dB)
code 16 f   2000 osc  -61.59  loop RMS   -17.43  coh +47.169 dB   -110.9 deg  THD+N  -47.78  (settle 4 windows, spread 0.001 dB)
code 16 f   5000 osc  -61.59  loop RMS   -17.43  coh +47.168 dB     -9.7 deg  THD+N  -47.73  (settle 4 windows, spread 0.002 dB)
code 16 f  10000 osc  -61.59  loop RMS   -17.37  coh +47.235 dB    148.0 deg  THD+N  -47.77  (settle 4 windows, spread 0.001 dB)
code 16 f  15000 osc  -61.59  loop RMS   -17.45  coh +47.154 dB    -85.5 deg  THD+N  -47.91  (settle 4 windows, spread 0.001 dB)
code 16 f  20000 osc  -61.59  loop RMS   -17.55  coh +47.052 dB    -43.9 deg  THD+N  -47.73  (settle 4 windows, spread 0.001 dB)
