channel,code,loop_gain_db
J25 (MIC 5),0,5.578
J25 (MIC 5),1,18.423
J25 (MIC 5),2,25.041
J25 (MIC 5),3,27.713
J25 (MIC 5),4,32.475
J25 (MIC 5),5,33.711
J25 (MIC 5),6,35.267
J25 (MIC 5),7,36.180
J25 (MIC 5),8,39.927
J25 (MIC 5),9,40.472
J25 (MIC 5),10,41.219
J25 (MIC 5),11,41.691
J25 (MIC 5),12,42.869
J25 (MIC 5),13,43.260
J25 (MIC 5),14,43.808
J25 (MIC 5),15,44.160
J25 (MIC 5),16,47.169
J25 (MIC 5),17,47.409
J25 (MIC 5),18,47.752
J25 (MIC 5),19,47.976
J25 (MIC 5),20,48.564
J25 (MIC 5),21,48.769
J25 (MIC 5),22,49.063
J25 (MIC 5),23,49.255
J25 (MIC 5),24,50.227
J25 (MIC 5),25,50.396
J25 (MIC 5),26,50.639
J25 (MIC 5),27,50.801
J25 (MIC 5),28,51.228
J25 (MIC 5),29,51.378
J25 (MIC 5),30,51.597
J25 (MIC 5),31,51.741
J25 (MIC 5),32,53.744
J25 (MIC 5),33,53.859
J25 (MIC 5),34,54.020
J25 (MIC 5),35,54.129
J25 (MIC 5),36,54.420
J25 (MIC 5),37,54.525
J25 (MIC 5),38,54.674
J25 (MIC 5),39,54.776
J25 (MIC 5),40,55.298
J25 (MIC 5),41,55.391
J25 (MIC 5),42,55.527
J25 (MIC 5),43,55.618
J25 (MIC 5),44,55.864
J25 (MIC 5),45,55.952
J25 (MIC 5),46,56.080
J25 (MIC 5),47,56.164
J25 (MIC 5),48,57.001
J25 (MIC 5),49,57.076
J25 (MIC 5),50,57.189
J25 (MIC 5),51,57.265
J25 (MIC 5),52,57.467
J25 (MIC 5),53,57.539
J25 (MIC 5),54,57.645
J25 (MIC 5),55,57.715
J25 (MIC 5),56,58.086
J25 (MIC 5),57,58.155
J25 (MIC 5),58,58.254
J25 (MIC 5),59,58.318
J25 (MIC 5),60,58.496
J25 (MIC 5),61,58.562
J25 (MIC 5),62,58.656
J25 (MIC 5),63,58.717
J27 (MIC 6),0,5.580
J27 (MIC 6),1,18.426
J27 (MIC 6),2,25.042
J27 (MIC 6),3,27.715
J27 (MIC 6),4,32.468
J27 (MIC 6),5,33.705
J27 (MIC 6),6,35.263
J27 (MIC 6),7,36.176
J27 (MIC 6),8,39.917
J27 (MIC 6),9,40.462
J27 (MIC 6),10,41.210
J27 (MIC 6),11,41.682
J27 (MIC 6),12,42.860
J27 (MIC 6),13,43.251
J27 (MIC 6),14,43.801
J27 (MIC 6),15,44.152
J27 (MIC 6),16,47.148
J27 (MIC 6),17,47.388
J27 (MIC 6),18,47.733
J27 (MIC 6),19,47.957
J27 (MIC 6),20,48.545
J27 (MIC 6),21,48.750
J27 (MIC 6),22,49.044
J27 (MIC 6),23,49.238
J27 (MIC 6),24,50.209
J27 (MIC 6),25,50.378
J27 (MIC 6),26,50.622
J27 (MIC 6),27,50.784
J27 (MIC 6),28,51.211
J27 (MIC 6),29,51.361
J27 (MIC 6),30,51.578
J27 (MIC 6),31,51.723
J27 (MIC 6),32,53.660
J27 (MIC 6),33,53.772
J27 (MIC 6),34,53.937
J27 (MIC 6),35,54.048
J27 (MIC 6),36,54.342
J27 (MIC 6),37,54.446
J27 (MIC 6),38,54.598
J27 (MIC 6),39,54.701
J27 (MIC 6),40,55.225
J27 (MIC 6),41,55.319
J27 (MIC 6),42,55.458
J27 (MIC 6),43,55.548
J27 (MIC 6),44,55.796
J27 (MIC 6),45,55.886
J27 (MIC 6),46,56.015
J27 (MIC 6),47,56.102
J27 (MIC 6),48,56.938
J27 (MIC 6),49,57.014
J27 (MIC 6),50,57.128
J27 (MIC 6),51,57.205
J27 (MIC 6),52,57.407
J27 (MIC 6),53,57.479
J27 (MIC 6),54,57.585
J27 (MIC 6),55,57.658
J27 (MIC 6),56,58.027
J27 (MIC 6),57,58.098
J27 (MIC 6),58,58.199
J27 (MIC 6),59,58.263
J27 (MIC 6),60,58.441
J27 (MIC 6),61,58.509
J27 (MIC 6),62,58.603
J27 (MIC 6),63,58.668
