target_db,code,byte,hw_gain_db,trim_db
0,0,0x00,0.000,0.000
1,0,0x00,0.000,1.000
2,0,0x00,0.000,2.000
3,0,0x00,0.000,3.000
4,0,0x00,0.000,4.000
5,0,0x00,0.000,5.000
6,0,0x00,0.000,6.000
7,0,0x00,0.000,7.000
8,0,0x00,0.000,8.000
9,0,0x00,0.000,9.000
10,0,0x00,0.000,10.000
11,0,0x00,0.000,11.000
12,0,0x00,0.000,12.000
13,1,0x04,12.845,0.155
14,1,0x04,12.845,1.155
15,1,0x04,12.845,2.155
16,1,0x04,12.845,3.155
17,1,0x04,12.845,4.155
18,1,0x04,12.845,5.155
19,1,0x04,12.845,6.155
20,2,0x08,19.463,0.537
21,2,0x08,19.463,1.537
22,2,0x08,19.463,2.537
23,3,0x0C,22.135,0.865
24,3,0x0C,22.135,1.865
25,3,0x0C,22.135,2.865
26,3,0x0C,22.135,3.865
27,4,0x10,26.892,0.108
28,4,0x10,26.892,1.108
29,5,0x14,28.129,0.871
30,6,0x18,29.685,0.315
31,7,0x1C,30.599,0.401
32,7,0x1C,30.599,1.401
33,7,0x1C,30.599,2.401
34,7,0x1C,30.599,3.401
35,9,0x24,34.887,0.113
36,10,0x28,35.635,0.365
37,11,0x2C,36.107,0.893
38,13,0x34,37.676,0.324
39,15,0x3C,38.576,0.424
40,15,0x3C,38.576,1.424
41,15,0x3C,38.576,2.424
42,17,0x44,41.816,0.184
43,20,0x50,42.972,0.028
44,23,0x5C,43.664,0.336
45,25,0x64,44.804,0.196
46,29,0x74,45.787,0.213
47,31,0x7C,46.149,0.851
48,31,0x7C,46.149,1.851
49,37,0x94,48.909,0.091
50,42,0xA8,49.915,0.085
51,47,0xBC,50.555,0.445
52,53,0xD4,51.929,0.071
53,61,0xF4,52.954,0.046
54,63,0xFC,53.111,0.889
55,63,0xFC,53.111,1.889
56,63,0xFC,53.111,2.889
57,63,0xFC,53.111,3.889
58,63,0xFC,53.111,4.889
59,63,0xFC,53.111,5.889
60,63,0xFC,53.111,6.889
