symbol map: /home/app/s83tn/chip1.sym.json (6452 symbols)  tag=ship-rails-down

  control MUST MOVE      FRAME_COUNT +5947  [ok]
  control MUST NOT MOVE  _rx_slot_C1_IN_01    16 reads, 1 distinct, value 0x00000000  [ok]
  control MUST NOT MOVE  _buf_C1_IN_01        16 reads, 1 distinct, value 0x00000000  [ok]
  control MUST NOT MOVE  _buf_C1_IN_16        16 reads, 1 distinct, value 0x00000000  [ok]

node         entry  off  pin  slot  read distinct  rms dBFS   pk dBFS  first words
IN_04            0    0    0     0    16       13   -117.36   -112.45  fffffc00 00000900 00000e00
IN_16            1    1    0     1    16       12   -116.09   -111.63  fffff300 00000f00 fffff300
IN_03            2    2    0     2    16       12   -119.48   -113.37  00000400 00000600 00000800
IN_15            3    3    0     3    16       14   -114.67   -108.10  fffff900 fffffa00 fffffd00
IN_14            4    4    0     4    16       14   -115.59   -108.65  ffffff00 fffff600 fffff600
IN_02            5    5    0     5    16       15   -114.68   -107.84  fffff400 ffffee00 00002200
IN_13            6    6    0     6    16       14   -114.03   -105.80  fffffe00 00000400 00000600
IN_01            7    7    0     7    16       14   -112.58   -106.88  ffffe500 00002600 00001c00
IN_08            8  128    1     0    16       14   -117.40   -111.24  fffffa00 00000000 ffffed00
IN_20            9  129    1     1    16       12   -113.04   -107.59  ffffe300 00000100 fffffd00
IN_07           10  130    1     2    16       15   -115.90   -107.59  00000000 00001200 fffff500
IN_19           11  131    1     3    16       14   -114.75   -107.59  fffff600 00000400 fffffc00
IN_18           12  132    1     4    16       14   -117.07   -111.63  fffff000 00000500 ffffea00
IN_06           13  133    1     5    16       14   -113.80   -106.01  00000000 00000500 00002a00
IN_17           14  134    1     6    16       13   -117.27   -110.87  ffffee00 fffff800 00001800
IN_05           15  135    1     7    16       12   -119.93   -113.86  fffffc00 fffffc00 fffff400
IN_12           16  256    2     0    16       14   -116.13   -108.10  00000800 ffffe700 00000d00
IN_24           17  257    2     1    16       13   -116.62   -113.37  00000c00 fffffa00 00000d00
IN_11           18  258    2     2    16       14   -118.05   -112.45  00000e00 00001100 00000100
IN_23           19  259    2     3    16       15   -116.92   -112.03  00001500 fffffc00 00000200
IN_22           20  260    2     4    16       14   -113.81   -107.35  ffffdc00 00001700 fffff700
IN_10           21  261    2     5    16       13   -114.98   -109.23  00001800 00000100 00000600
IN_21           22  262    2     6    16       14   -114.33   -108.65  fffff100 ffffe100 fffff100
IN_09           23  263    2     7    16       15   -113.87   -107.84  fffff200 00002200 00000c00
IN_25           24  384    3     0    16        1   -186.64   -186.64  ffffffff ffffffff ffffffff
IN_26           25  385    3     1    16        1   -186.64   -186.64  ffffffff ffffffff ffffffff
IN_27           26  386    3     2    16        1   -186.64   -186.64  ffffffff ffffffff ffffffff
IN_28           27  387    3     3    16        1   -186.64   -186.64  ffffffff ffffffff ffffffff
IN_29           28  388    3     4    16        1   -186.64   -186.64  ffffffff ffffffff ffffffff
IN_30           29  389    3     5    16        1   -186.64   -186.64  ffffffff ffffffff ffffffff
IN_31           30  390    3     6    16        1   -186.64   -186.64  ffffffff ffffffff ffffffff
IN_32           31  391    3     7    16        1   -186.64   -186.64  ffffffff ffffffff ffffffff
XIN_CODEC_01    32  512    4     0    16       16    -76.84    -73.20  00037500 00071500 fff8da00
XIN_CODEC_02    33  513    4     1    16       16    -75.86    -67.46  fffac000 0000e800 00018b00
XIN_CODEC_03    34  514    4     2    16       16    -95.58    -89.66  ffff8200 00007900 ffff8d00
XIN_CODEC_04    35  515    4     3    16       16    -88.21    -83.42  00005a00 fffffb00 00023600
XIN_SNK_01      36  576    5     0    16        1   -186.64   -186.64  ffffffff ffffffff ffffffff
XIN_SNK_02      37  577    5     1    16        1   -186.64   -186.64  ffffffff ffffffff ffffffff
XIN_SNK_03      38  578    5     2    16        1   -186.64   -186.64  ffffffff ffffffff ffffffff
XIN_SNK_04      39  579    5     3    16        1   -186.64   -186.64  ffffffff ffffffff ffffffff
XIN_SNK_05      40  580    5     4    16        1   -186.64   -186.64  ffffffff ffffffff ffffffff
XIN_SNK_06      41  581    5     5    16        1   -186.64   -186.64  ffffffff ffffffff ffffffff
XIN_SNK_07      42  582    5     6    16        1   -186.64   -186.64  ffffffff ffffffff ffffffff
XIN_SNK_08      43  583    5     7    16        1   -186.64   -186.64  ffffffff ffffffff ffffffff
XIN_PI_L        44  704    6     0    16        1   -336.00   -336.00  00000000 00000000 00000000
XIN_PI_R        45  705    6     1    16        1   -336.00   -336.00  00000000 00000000 00000000
XIN_MEMS        46  736    7     5    16        1   -186.64   -186.64  ffffffff ffffffff ffffffff

MIC  lanes (entries 0..31): 24 of 32 CARRYING SAMPLES
XIN  lanes (entries 32..46): 4 of 15 CARRYING SAMPLES
wrote /home/app/s86/rx-ship-down.json
