_Cell,Family,Bucket,Reason,Class,DspAddrHex,InertSymbol,Notes
Aux001AntiFbCtrlOn001,AuxAntiFbCtrlOn,dsp-missing,"addressed (chip 2, 0x003C) and NOT SERVED: symbol inert — a host write lands in DM and no instruction of the running kernel looks at _afb_ctrl_on_C2_AUX_AFB_01",,0x003C,_afb_ctrl_on_C2_AUX_AFB_01,Anti-feedback control on/off per aux path
Aux002AntiFbCtrlOn001,AuxAntiFbCtrlOn,dsp-missing,"addressed (chip 2, 0x0096) and NOT SERVED: symbol inert — a host write lands in DM and no instruction of the running kernel looks at _afb_ctrl_on_C2_AUX_AFB_02",,0x0096,_afb_ctrl_on_C2_AUX_AFB_02,Anti-feedback control on/off per aux path
Aux003AntiFbCtrlOn001,AuxAntiFbCtrlOn,dsp-missing,"addressed (chip 2, 0x00F0) and NOT SERVED: symbol inert — a host write lands in DM and no instruction of the running kernel looks at _afb_ctrl_on_C2_AUX_AFB_03",,0x00F0,_afb_ctrl_on_C2_AUX_AFB_03,Anti-feedback control on/off per aux path
Aux004AntiFbCtrlOn001,AuxAntiFbCtrlOn,dsp-missing,"addressed (chip 2, 0x014A) and NOT SERVED: symbol inert — a host write lands in DM and no instruction of the running kernel looks at _afb_ctrl_on_C2_AUX_AFB_04",,0x014A,_afb_ctrl_on_C2_AUX_AFB_04,Anti-feedback control on/off per aux path
Aux005AntiFbCtrlOn001,AuxAntiFbCtrlOn,dsp-missing,"addressed (chip 2, 0x01A4) and NOT SERVED: symbol inert — a host write lands in DM and no instruction of the running kernel looks at _afb_ctrl_on_C2_AUX_AFB_05",,0x01A4,_afb_ctrl_on_C2_AUX_AFB_05,Anti-feedback control on/off per aux path
Aux006AntiFbCtrlOn001,AuxAntiFbCtrlOn,dsp-missing,"addressed (chip 2, 0x01FE) and NOT SERVED: symbol inert — a host write lands in DM and no instruction of the running kernel looks at _afb_ctrl_on_C2_AUX_AFB_06",,0x01FE,_afb_ctrl_on_C2_AUX_AFB_06,Anti-feedback control on/off per aux path
Aux007AntiFbCtrlOn001,AuxAntiFbCtrlOn,dsp-missing,"addressed (chip 2, 0x0258) and NOT SERVED: symbol inert — a host write lands in DM and no instruction of the running kernel looks at _afb_ctrl_on_C2_AUX_AFB_07",,0x0258,_afb_ctrl_on_C2_AUX_AFB_07,Anti-feedback control on/off per aux path
Aux008AntiFbCtrlOn001,AuxAntiFbCtrlOn,dsp-missing,"addressed (chip 2, 0x02B2) and NOT SERVED: symbol inert — a host write lands in DM and no instruction of the running kernel looks at _afb_ctrl_on_C2_AUX_AFB_08",,0x02B2,_afb_ctrl_on_C2_AUX_AFB_08,Anti-feedback control on/off per aux path
Chan001CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x0042) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_01",,0x0042,_comp_det_src_C1_COMP_01,Compressor self-key tap source (PreEQ/PostEQ)
Chan002CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x00D2) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_02",,0x00D2,_comp_det_src_C1_COMP_02,Compressor self-key tap source (PreEQ/PostEQ)
