timestamp,step,jack,node,drive_dbfs_pk,return_rms_dbfs,loop_gain_db,adc_fs_dbu,implied_fs_dbu,thd_pct,verdict,note
2026-09-21T16:05Z,TRS-1,Monitor L (TRS),C2_MON_OUT codec slot 0,-26.02,-49.30,-20.27,17.55,-2.72,0.0878,ALIVE,"coherent TEST_MEAS MeasChan 18; digital tap read either side of the lane read; source MAIN (cue not selectable, DSP4_CUE=0)"
2026-09-21T16:07Z,TRS-1b,Monitor L (TRS) rep 2,C2_MON_OUT codec slot 0,-26.02,-49.30,-20.27,17.55,-2.72,0.0662,ALIVE,"repeat, RmsResult identical to 0.00 dB"
2026-09-21T17:40Z,BISECT-ship,Monitor L loop THD,shipping switches + TEST_NODES,-18.04,-41.84,,,,59.74,FOLDED,"SIMD_DYN=1 DYN_LUT=1 STRIP_FUSED=1 GATE_LINTHR=1; osc strip 20 -12 dBFS, MeasChan 6"
2026-09-21T17:45Z,BISECT-b0,Monitor L loop THD,all four switches off,-18.04,-42.02,,,,0.3595,CLEAN,"control arm"
2026-09-21T17:50Z,BISECT-b1,Monitor L loop THD,SIMD_DYN=0,-18.04,-42.02,,,,0.3538,CLEAN,"removal cures it"
2026-09-21T17:55Z,BISECT-b2,Monitor L loop THD,STRIP_FUSED=0,-18.04,-41.86,,,,58.11,FOLDED,"removal does not cure it"
2026-09-21T18:00Z,BISECT-b3,Monitor L loop THD,DYN_LUT=0,-18.04,-42.02,,,,0.3593,CLEAN,"removal cures it"
2026-09-21T18:05Z,BISECT-b4,Monitor L loop THD,GATE_LINTHR=0,-18.04,-41.81,,,,69.64,FOLDED,"removal does not cure it"
2026-09-21T18:20Z,CONVERSE-b5,Monitor L loop THD,base + SIMD_DYN + DYN_LUT,-18.04,-41.85,,,,58.16,FOLDED,"the pair alone reproduces it"
2026-09-21T18:25Z,CONVERSE-b6,Monitor L loop THD,base + SIMD_DYN only,-18.04,-42.02,,,,0.3643,CLEAN,"neither switch alone"
2026-09-21T18:30Z,CONVERSE-b7,Monitor L loop THD,base + DYN_LUT only,-18.04,-42.02,,,,0.3520,CLEAN,"neither switch alone"
2026-09-22T15:18Z,S89e-chain,Monitor L loop THD,595 chain as matrix-app left it,-12.00,-0.70,,,,39.38,VOID,"PINNED LANE: level moved 0.9 dB over a 30 dB drive change (-12/-22/-32/-42 -> -0.70/-0.65/-0.73/-1.62 dBFS). Every reading before this row is void; the chain was then written all-zero (gain code 0) VERIFIED 200/200"
2026-09-22T15:32Z,S89e-g0,Monitor L loop THD,signed switches DSP4_TX_DEFER=0,-12.00,-22.23,,,,57.40,FOLDED,"control; gather at 78.81 % of budget"
2026-09-22T15:32Z,S89e-g0b,Monitor L loop THD,signed switches DSP4_TX_DEFER=0,-22.00,-31.45,,,,57.30,FOLDED,"same boot, second drive"
2026-09-22T15:41Z,S89e-d06,Monitor L loop THD,+ DSP4_GDELAY=6000,-12.00,-22.25,,,,41.28,FOLDED,"gate 1 delay sweep"
2026-09-22T15:42Z,S89e-d13,Monitor L loop THD,+ DSP4_GDELAY=13000,-12.00,-22.24,,,,41.34,FOLDED,"gate 1 delay sweep"
2026-09-22T15:43Z,S89e-d20,Monitor L loop THD,+ DSP4_GDELAY=20000,-12.00,-22.21,,,,57.34,FOLDED,"gate 1 delay sweep; cure threshold is above this"
2026-09-22T15:36Z,S89e-g1,Monitor L loop THD,+ DSP4_GDELAY=26000,-12.00,-22.22,,,,0.3213,CLEAN,"GATE 1 HELD: no switch moved, only the gather's position"
2026-09-22T15:37Z,S89e-g2,Monitor L loop THD,+ DSP4_GDELAY=47000,-12.00,-22.23,,,,0.3217,CLEAN,"gate 1 delay sweep"
2026-09-22T15:40Z,S89e-t0,Monitor L loop THD,signed switches DSP4_TX_EARLY=0,-12.00,-22.23,,,,0.3215,CLEAN,"the other row; clean but still load-dependent, NOT the fix"
2026-09-22T16:05Z,S89e-x2,Monitor L loop THD,THE FIX DSP4_TX_DEFER=2,-12.00,-22.22,,,,0.3212,CLEAN,"boot 1 of 3"
2026-09-22T16:07Z,S89e-x2b,Monitor L loop THD,THE FIX DSP4_TX_DEFER=2,-12.00,-22.22,,,,0.3213,CLEAN,"boot 2 of 3"
2026-09-22T16:08Z,S89e-x2c,Monitor L loop THD,THE FIX DSP4_TX_DEFER=2,-12.00,-22.23,,,,0.3213,CLEAN,"boot 3 of 3"
2026-09-22T16:00Z,S89e-x2d26,Monitor L loop THD,fix + DSP4_GDELAY=26000,-12.00,-22.22,,,,0.3212,CLEAN,"load-independence: the fix at 86.7 % of budget"
2026-09-22T16:01Z,S89e-x2d47,Monitor L loop THD,fix + DSP4_GDELAY=47000,-12.00,-22.22,,,,0.3215,CLEAN,"load-independence: the fix at 93.1 % of budget"
2026-09-22T15:59Z,S89e-x0,Monitor L loop THD,fix + DSP4_TX_EARLY=0,-12.00,-22.23,,,,57.43,FOLDED,"the complementary control: with the gather deferred the SAFE ROW FLIPS BACK, so this is a geometry and not a margin"
