date,arm,product,row,boot,chip,proc_cyc,pct_of_budget,worst_after_clear_pct,missed_blocks,blocks,build_cfg2,note
2026-09-22,candidate-s89 TX_DEFER=2,d24,A silent default,1,1,141302,43.12,43.13,0,135048,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,candidate-s89 TX_DEFER=2,d24,A silent default,1,2,254031,77.53,77.62,0,135048,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,candidate-s89 TX_DEFER=2,d24,A silent default,2,1,140688,42.93,43.14,0,135049,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,candidate-s89 TX_DEFER=2,d24,A silent default,2,2,254262,77.60,77.90,0,135048,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d24,A silent default,1,1,140679,42.93,43.25,0,135053,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d24,A silent default,1,2,254305,77.61,77.64,0,135048,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d24,A silent default,2,1,141302,43.12,43.14,0,135051,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d24,A silent default,2,2,254556,77.69,77.63,0,135048,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,candidate-s89 TX_DEFER=2,d24,B silent loaded,1,1,188440,57.50,57.63,0,135048,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,candidate-s89 TX_DEFER=2,d24,B silent loaded,1,2,277228,84.60,84.62,0,135048,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,candidate-s89 TX_DEFER=2,d24,B silent loaded,2,1,188786,57.61,57.72,0,135048,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,candidate-s89 TX_DEFER=2,d24,B silent loaded,2,2,276281,84.32,84.63,0,135049,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d24,B silent loaded,1,1,188423,57.50,57.72,0,135054,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d24,B silent loaded,1,2,276537,84.39,84.53,0,135048,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d24,B silent loaded,2,1,188779,57.61,57.63,0,135053,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d24,B silent loaded,2,2,276548,84.40,84.43,0,135048,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,candidate-s89 TX_DEFER=2,d24,C driven loaded,1,1,188020,57.38,57.95,0,135048,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,candidate-s89 TX_DEFER=2,d24,C driven loaded,1,2,276219,84.30,84.95,0,135048,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,candidate-s89 TX_DEFER=2,d24,C driven loaded,2,1,188000,57.37,57.85,0,135049,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,candidate-s89 TX_DEFER=2,d24,C driven loaded,2,2,276848,84.49,84.98,0,135049,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d24,C driven loaded,1,1,188886,57.64,58.07,0,135054,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d24,C driven loaded,1,2,276537,84.39,84.86,0,135048,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d24,C driven loaded,2,1,188544,57.54,58.05,0,135053,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d24,C driven loaded,2,2,276477,84.38,84.84,0,135048,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,candidate-s89 TX_DEFER=2,d32,A silent default,1,1,179465,54.77,55.24,0,135048,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,candidate-s89 TX_DEFER=2,d32,A silent default,1,2,303725,92.69,93.04,0,135049,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,candidate-s89 TX_DEFER=2,d32,A silent default,2,1,180075,54.95,55.23,0,135053,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,candidate-s89 TX_DEFER=2,d32,A silent default,2,2,303748,92.69,92.84,0,135048,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d32,A silent default,1,1,180094,54.96,55.03,0,135049,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d32,A silent default,1,2,302872,92.43,92.95,0,135049,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d32,A silent default,2,1,180077,54.95,55.13,0,135053,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d32,A silent default,2,2,303786,92.71,92.75,0,135048,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,candidate-s89 TX_DEFER=2,d32,B silent loaded,1,1,248187,75.74,76.21,0,135048,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,candidate-s89 TX_DEFER=2,d32,B silent loaded,1,2,338179,103.21,103.02,3704,135048,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,candidate-s89 TX_DEFER=2,d32,B silent loaded,2,1,249150,76.03,76.19,0,135053,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,candidate-s89 TX_DEFER=2,d32,B silent loaded,2,2,337470,102.98,103.03,3705,135049,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d32,B silent loaded,1,1,248153,75.73,76.10,0,135048,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d32,B silent loaded,1,2,337161,102.89,103.03,3596,135049,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d32,B silent loaded,2,1,248823,75.93,76.20,0,135054,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d32,B silent loaded,2,2,337145,102.89,102.97,3596,135049,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,candidate-s89 TX_DEFER=2,d32,C driven loaded,1,1,248799,75.93,76.68,0,135048,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,candidate-s89 TX_DEFER=2,d32,C driven loaded,1,2,337125,102.88,103.44,3739,135050,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,candidate-s89 TX_DEFER=2,d32,C driven loaded,2,1,248925,75.97,76.67,0,135054,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,candidate-s89 TX_DEFER=2,d32,C driven loaded,2,2,337111,102.88,103.21,3730,135049,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d32,C driven loaded,1,1,249091,76.02,76.46,0,135048,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d32,C driven loaded,1,2,338111,103.18,103.29,3619,135049,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d32,C driven loaded,2,1,249306,76.08,76.42,0,135054,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
2026-09-22,shipping TX_DEFER=0,d32,C driven loaded,2,2,336811,102.78,103.11,3620,135049,0xE2018E6F,driveall 943f27966c28; regime proven on every driven row
