Name,Type,SubType,Mode,DefInt,DefStr,Radio,Cell,CellRebind,CellRebindSel,MxAdd,MxDat,MxDatS,SkinLink,SkinNum,Clone,Pass,LocX,LocY,SizX,SizY,Over,Img0,Img1,Img2,Img3,BarMax,BarMaxC,BarMaxDb,BarMinC,BarMinDb,BarNomC,BarNomDb,Img1LocX,Img1LocY,Img1SizX,Img1SizY,OffX,OffY,Rot,Sense,Tab1,Tab2,Test,Txt1,Txt1OffX,Txt1OffY,Txt1OffC,Txt1OnC,Txt1Siz,Txt2,Txt2OffX,Txt2OffY,Txt2OffC,Txt2OnC,Txt2Siz
prev,SW,TESTACT,,,PREV,,null,,,0,0,0,,,,true,40,20,210,100,,,,,,,,,,,,,,,,,,,,,,,,< PREV,0,0,White,White,30,,,,,,
next,SW,TESTACT,,,NEXT,,null,,,0,0,0,,,,true,262,20,210,100,,,,,,,,,,,,,,,,,,,,,,,,NEXT >,0,0,White,White,30,,,,,,
title,SW,TESTINFO,,,TITLE,,null,,,0,0,0,,,,true,500,26,560,44,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#E8EDF2,White,30,,,,,,
qpos,SW,TESTINFO,,,QUEUEPOS,,null,,,0,0,0,,,,true,500,74,560,34,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#9AA7B4,White,21,,,,,,
score,SW,TESTINFO,,,SCORE,,null,,,0,0,0,,,,true,1430,14,450,84,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#E8EDF2,White,68,,,,,,
scorelbl,SW,TESTINFO,,,SCORELBL,,null,,,0,0,0,,,,true,1430,96,450,30,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#9AA7B4,White,22,,,,,,
scoresub,SW,TESTINFO,,,SCORESUB,,null,,,0,0,0,,,,true,500,110,900,30,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#9AA7B4,White,19,,,,,,
num,SW,TESTINFO,,,NUM,,null,,,0,0,0,,,,true,40,150,170,56,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#E8EDF2,White,44,,,,,,
key,SW,TESTINFO,,,KEY,,null,,,0,0,0,,,,true,212,158,1180,48,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#E8EDF2,White,34,,,,,,
stat,SW,TESTSTAT,,,,,null,,,0,0,0,,,,true,1450,148,430,76,,,,,,,,,,,,,,,,,,,,,,,,,0,0,White,White,34,,,,,,
class,SW,TESTINFO,,,CLASS,,null,,,0,0,0,,,,true,40,214,1400,32,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#9AA7B4,White,19,,,,,,
tests,SW,TESTINFO,,,TESTS,,null,,,0,0,0,,,,true,40,246,1400,32,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#9AA7B4,White,19,,,,,,
short,SW,TESTINFO,,,SHORT,,null,,,0,0,0,,,,true,40,300,1400,190,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#F2D479,White,36,,,,,,
remedy,SW,TESTINFO,,,REMEDY,,null,,,0,0,0,,,,true,40,495,1400,220,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#F0A0A0,White,26,,,,,,
h_expl,SW,TESTINFO,,,H_EXPLAIN,,null,,,0,0,0,,,,true,40,296,500,30,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#6FA8D6,White,22,,,,,,
expl,SW,TESTINFO,,,EXPLAIN,,null,,,0,0,0,,,,true,40,330,1400,172,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DDE5EC,White,21,,,,,,
h_pass,SW,TESTINFO,,,H_PASS,,null,,,0,0,0,,,,true,40,506,500,30,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#6FA8D6,White,22,,,,,,
pass,SW,TESTINFO,,,PASSWHEN,,null,,,0,0,0,,,,true,40,540,1400,102,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DDE5EC,White,21,,,,,,
h_man,SW,TESTINFO,,,H_MANUAL,,null,,,0,0,0,,,,true,40,646,600,30,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#6FA8D6,White,22,,,,,,
man,SW,TESTINFO,,,MANUAL,,null,,,0,0,0,,,,true,40,680,1400,52,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DDE5EC,White,21,,,,,,
bar,SW,TESTPROG,,,,,null,,,0,0,0,,,,true,40,736,1400,28,,,,,,,,,,,,,,,,,,,,,,,,,0,0,White,White,20,,,,,,
progtxt,SW,TESTINFO,,,PROGTEXT,,null,,,0,0,0,,,,true,40,770,1400,32,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#E8EDF2,White,22,,,,,,
