_Cell,Seq,Chan,Fun,Hxf,Save2Mix,Notes,MxAdd,Shex,MxDatS,MxDat,sAdd,sCon,dAdd,dCon,Function,FunX,ShFunction,ShFunX,Table,ShTable,SigmaKey,Sigma,DspI2c,DspSpi,DspPage,DspAdd,DspAddHex,Checked,DefStr,Type,Neutral,RampProfile,RampMode,RampUpMs,RampDownMs,RampCurve,RampScope
Aux001Mtr001,1,1,1,,false,Aux output level meter,1,i,80,,,,,,,,Chan_Mtr,,,,,,,2,1,1817,0x0719,,,,-,,Instant,0,0,Linear,Scalar
Aux002Mtr001,1,2,1,,false,Aux output level meter,2,j,80,,,,,,,,Chan_Mtr,,,,,,,2,1,1818,0x071A,,,,-,,Instant,0,0,Linear,Scalar
Aux003Mtr001,1,3,1,,false,Aux output level meter,3,k,80,,,,,,,,Chan_Mtr,,,,,,,2,1,1819,0x071B,,,,-,,Instant,0,0,Linear,Scalar
Aux004Mtr001,1,4,1,,false,Aux output level meter,4,l,80,,,,,,,,Chan_Mtr,,,,,,,2,1,1820,0x071C,,,,-,,Instant,0,0,Linear,Scalar
Aux005Mtr001,1,5,1,,false,Aux output level meter,5,m,80,,,,,,,,Chan_Mtr,,,,,,,2,1,1821,0x071D,,,,-,,Instant,0,0,Linear,Scalar
Aux006Mtr001,1,6,1,,false,Aux output level meter,6,n,80,,,,,,,,Chan_Mtr,,,,,,,2,1,1822,0x071E,,,,-,,Instant,0,0,Linear,Scalar
Aux007Mtr001,1,7,1,,false,Aux output level meter,7,o,80,,,,,,,,Chan_Mtr,,,,,,,2,1,1823,0x071F,,,,-,,Instant,0,0,Linear,Scalar
Aux008Mtr001,1,8,1,,false,Aux output level meter,8,p,80,,,,,,,,Chan_Mtr,,,,,,,2,1,1824,0x0720,,,,-,,Instant,0,0,Linear,Scalar
Chan001Mtr001,1,1,1,,false,Channel input level meter (pre/post),9,q,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4608,0x1200,,,,-,,Instant,0,0,Linear,Scalar
Chan001Mtr002,1,1,2,,false,Channel input level meter (pre/post),10,r,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4609,0x1201,,,,-,,Instant,0,0,Linear,Scalar
Chan002Mtr001,1,2,1,,false,Channel input level meter (pre/post),11,s,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4612,0x1204,,,,-,,Instant,0,0,Linear,Scalar
Chan002Mtr002,1,2,2,,false,Channel input level meter (pre/post),12,t,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4613,0x1205,,,,-,,Instant,0,0,Linear,Scalar
Chan003Mtr001,1,3,1,,false,Channel input level meter (pre/post),13,u,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4616,0x1208,,,,-,,Instant,0,0,Linear,Scalar
Chan003Mtr002,1,3,2,,false,Channel input level meter (pre/post),14,v,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4617,0x1209,,,,-,,Instant,0,0,Linear,Scalar
Chan004Mtr001,1,4,1,,false,Channel input level meter (pre/post),15,w,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4620,0x120C,,,,-,,Instant,0,0,Linear,Scalar
Chan004Mtr002,1,4,2,,false,Channel input level meter (pre/post),16,ih,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4621,0x120D,,,,-,,Instant,0,0,Linear,Scalar
Chan005Mtr001,1,5,1,,false,Channel input level meter (pre/post),17,ii,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4624,0x1210,,,,-,,Instant,0,0,Linear,Scalar
Chan005Mtr002,1,5,2,,false,Channel input level meter (pre/post),18,ij,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4625,0x1211,,,,-,,Instant,0,0,Linear,Scalar
Chan006Mtr001,1,6,1,,false,Channel input level meter (pre/post),19,ik,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4628,0x1214,,,,-,,Instant,0,0,Linear,Scalar
Chan006Mtr002,1,6,2,,false,Channel input level meter (pre/post),20,il,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4629,0x1215,,,,-,,Instant,0,0,Linear,Scalar
Chan007Mtr001,1,7,1,,false,Channel input level meter (pre/post),21,im,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4632,0x1218,,,,-,,Instant,0,0,Linear,Scalar
Chan007Mtr002,1,7,2,,false,Channel input level meter (pre/post),22,in,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4633,0x1219,,,,-,,Instant,0,0,Linear,Scalar
Chan008Mtr001,1,8,1,,false,Channel input level meter (pre/post),23,io,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4636,0x121C,,,,-,,Instant,0,0,Linear,Scalar
Chan008Mtr002,1,8,2,,false,Channel input level meter (pre/post),24,ip,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4637,0x121D,,,,-,,Instant,0,0,Linear,Scalar
Chan009Mtr001,1,9,1,,false,Channel input level meter (pre/post),25,iq,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4640,0x1220,,,,-,,Instant,0,0,Linear,Scalar
Chan009Mtr002,1,9,2,,false,Channel input level meter (pre/post),26,ir,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4641,0x1221,,,,-,,Instant,0,0,Linear,Scalar
