# MW D24 — generated master cell list. Do not hand-edit.
# Source: d24.csv + mx_master.csv via def_master.py
_Cell,Seq,Chan,Fun,Hxf,Save2Mix,Notes,MxAdd,Shex,MxDatS,MxDat,sAdd,sCon,dAdd,dCon,Function,FunX,ShFunction,ShFunX,Table,ShTable,SigmaKey,Sigma,DspI2c,DspSpi,DspPage,DspAdd,DspAddHex,Checked,DefStr,Type
AaAux[1-8]Mtr[1-1],1,,,,false,Aux output level meter,,,80,,,,,,,,Chan_Mtr,,,,,,,,,,,,,,,
AaChan[1-24]Mtr[1-2],1,,,,false,Channel input level meter (pre/post),,,80,,,,,,,,Chan_Mtr,,,,,,,,,,,,,,,
AaChan[1-24]CompMtr[1-1],1,,,,false,Channel compressor gain-reduction meter (comp-only),,,80,,,,,,,,Chan_Mtr,,,,,,,,,,,,,,,
AaChan[1-24]GateMtr[1-1],1,,,,false,Channel gate gain-reduction meter (gate-only),,,80,,,,,,,,Chan_Mtr,,,,,,,,,,,,,,,
AaFx[1-6]Mtr[1-1],1,,,,false,FX return level meter,,,80,,,,,,,,Chan_Mtr,,,,,,,,,,,,,,,
AaGrp[1-4]Mtr[1-1],1,,,,false,Group level meter,,,80,,,,,,,,Chan_Mtr,,,,,,,,,,,,,,,
AaMain[1-4]Mtr[1-2],1,,,,false,Main output level meter (L/R),,,80,,,,,,,,Chan_Mtr,,,,,,,,,,,,,,,
AaSub[1-1]Mtr[1-1],1,,,,false,Subwoofer output level meter,,,80,,,,,,,,Chan_Mtr,,,,,,,,,,,,,,,
Aux[1-8]Delay[1-1],1,,,,,Aux output delay up to 250ms,,,255,,,,,,,,,,0=0/127=250/[Log],,,,,,,,,,
Aux[1-8]EqFreq[1-1],1,,,,,Aux 4-band parametric EQ frequency,,,255,127,,,,,,,AuxEq,,0=20/254=200/[Log][0dp],,,,,,,,,,
Aux[1-8]EqFreq[2-2],1,,,,,Aux 4-band parametric EQ frequency,,,255,127,,,,,,,AuxEq,,0=100/254=1000/[Log][0dp],,,,,,,,,,
Aux[1-8]EqFreq[3-3],1,,,,,Aux 4-band parametric EQ frequency,,,255,127,,,,,,,AuxEq,,0=800/254=5000/[Log][0dp],,,,,,,,,,
Aux[1-8]EqFreq[4-4],1,,,,,Aux 4-band parametric EQ frequency,,,255,127,,,,,,,AuxEq,,0=3000/254=20000/[Log][0dp],,,,,,,,,,
Aux[1-8]EqGain[1-4],1,,,,,Aux 4-band parametric EQ gain ±15dB,,,121,60,,,,,,,AuxEq,,0=-15/120=15/[Lin][2dp],,,,,,,,,,
Aux[1-8]EqHpf[1-1],1,,,,,Aux high-pass filter frequency,,,65,32,,,,,,,AuxEq,,0=20/64=1000/[Log][0dp],,,,,,,,,,
Aux[1-8]EqOn[1-1],1,,,,,Aux EQ on/off,,,2,,,,,,,,AuxEq,,,,,,,,,,,,
Aux[1-8]EqQ[1-4],1,,,,,Aux 4-band parametric EQ Q/bandwidth,,,121,60,,,,,,,AuxEq,,0=0.1/120=10/[Log][2dp],,,,,,,,,,
Aux[1-8]EqShelf[1-2],1,,,,,Aux EQ bands 1/4 shelf mode on/off,,,2,,,,,,,,AuxEq,,,,,,,,,,,,
Aux[1-8]Geq[1-28],1,,,,,Aux 28-band 1/3-octave GEQ gain per band,,,65,32,,,,,,,AuxEq,,0=-12/127=12/[Lin],,,,,,,,,,
Aux[1-8]LimiterAtt[1-1],1,,,,,Aux limiter attack time,,,33,,,,,,,,AuxLimiter,,0=0.1/127=100/[Log],,,,,,,,,,
Aux[1-8]LimiterOn[1-1],1,,,,,Aux output limiter on/off,,,2,,,,,,,,,,,,,,,,,,,,
Aux[1-8]LimiterRel[1-1],1,,,,,Aux limiter release time,,,33,,,,,,,,AuxLimiter,,0=5/127=2000/[Log],,,,,,,,,,
