# D32 — current shipping product expressed as a definition (concept validation)
# Derived from D32 manual features (manualFeatures.md) + matrix cell inventory (_matrix.csv).
# Conventions as d128.csv: opt-in, counts/caps/enums, slot scopes for fx.
key,value
brand,MW
product,D32
hw,D32-STD
ch,32
ch.eq,4
ch.comp,1
ch.gate,1
ch.key,1
ch.hpf,1
ch.delay,1
ch.pick,2
ch.insel,1
ch.ins,1
ch.lcr,1
ch.pad,1
aux,12
aux.eq,4
aux.comp,1
aux.lim,1
aux.fbs,6
grp,4
grp.eq,4
grp.comp,1
grp.gate,1
mtx,2
dca,8
mgrp,8
fgrp,5
main,LR
main.geq,31
main.comp,1
main.lim,1
rta,1
sub,1
sub.xover,1
sub.lim,1
mon,1
phones,4
tb,2
fx,6
fx.reverb,2
fx.echo,4
fx.pingpong,4
fx.doubler,4
fx.chorus,4
fx.flanger,4
fx.phaser,4
rec.usb,1
rec.ssd,1
rec.mtk,32
gen.noise,1
io.in,32
io.out,16
io.phantom,1
io.bt,1
io.card,1
