tag,cycle,ts,speed,spi_mode,post_reset,no_reset,order,sync,cfg_chips,boot1_ok,boot1_ms,boot1_err,boot2_ok,boot2_ms,boot2_err,rdy1_pre,rdy2_pre,rdy1_post,rdy2_post,pre1_magic,pre1_id,pre1_stage,pre1_cfg,pre1_frames,pre1_ticks,pre1_rx,pre1_err,pre1_drop,pre1_pid,pre1_build,pre1_phase,pre1_cgufail,pre1_it1,pre1_it2,pre1_it3,pre1_it4,pre2_magic,pre2_id,pre2_stage,pre2_cfg,pre2_frames,pre2_ticks,pre2_rx,pre2_err,pre2_drop,pre2_pid,pre2_build,pre2_phase,pre2_cgufail,pre2_it1,pre2_it2,pre2_it3,pre2_it4,post1_magic,post1_id,post1_stage,post1_cfg,post1_frames,post1_ticks,post1_rx,post1_err,post1_drop,post1_pid,post1_build,post1_phase,post1_cgufail,post1_it1,post1_it2,post1_it3,post1_it4,post2_magic,post2_id,post2_stage,post2_cfg,post2_frames,post2_ticks,post2_rx,post2_err,post2_drop,post2_pid,post2_build,post2_phase,post2_cgufail,post2_it1,post2_it2,post2_it3,post2_it4,rechk1_magic,rechk1_id,rechk1_stage,rechk1_cfg,rechk1_frames,rechk1_ticks,rechk1_rx,rechk1_err,rechk1_drop,rechk1_pid,rechk1_build,rechk1_phase,rechk1_cgufail,rechk1_it1,rechk1_it2,rechk1_it3,rechk1_it4,rechk2_magic,rechk2_id,rechk2_stage,rechk2_cfg,rechk2_frames,rechk2_ticks,rechk2_rx,rechk2_err,rechk2_drop,rechk2_pid,rechk2_build,rechk2_phase,rechk2_cgufail,rechk2_it1,rechk2_it2,rechk2_it3,rechk2_it4,cfg_ok,cfg_detail,verdict
watch,1,2026-08-30T19:26:53Z,10000000,1,0.5,0,"1,2",0,1,1,492.1,,1,252.0,,0,0,1,1,3585343489,1,5,0,31799,2651,16,0,0,0,539363346,0,0,0,0,0,0,3585343489,1,5,0,31859,2656,23331,3983,0,0,539363346,0,0,0,0,0,0,3585343489,1,7,1,49998,5670,104,0,0,1,539363346,5,0,1,56,0,0,3585343489,1,5,0,50130,4178,23368,3983,0,0,539363346,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,c1:51 writes,OK
watch,2,2026-08-30T19:27:03Z,10000000,1,0.5,0,"1,2",0,1,1,495.7,,1,254.1,,0,0,1,0,3585343489,1,5,0,31579,2632,16,0,0,0,539363346,0,0,0,0,0,0,3585343489,2,5,0,30115,2510,16,0,0,0,539363346,0,0,0,0,0,0,3585343489,1,7,1,49777,5651,104,0,0,1,539363346,5,0,1,52,0,0,3585343489,2,5,0,48313,4027,53,0,0,0,539363346,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,c1:51 writes,OK
watch,3,2026-08-30T19:27:12Z,10000000,1,0.5,0,"1,2",0,1,1,495.4,,1,254.0,,0,0,1,0,3585343489,1,5,0,31578,2632,16,0,0,0,539363346,0,0,0,0,0,0,3585343489,2,5,0,30115,2510,16,0,0,0,539363346,0,0,0,0,0,0,3585343489,1,7,1,49775,5651,104,0,0,1,539363346,5,0,1,56,0,0,3585343489,2,5,0,48310,4027,53,0,0,0,539363346,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,c1:51 writes,OK
watch,4,2026-08-30T19:27:21Z,10000000,1,0.5,0,"1,2",0,1,1,495.4,,1,254.0,,0,0,1,0,3585343489,1,5,0,31579,2632,16,0,0,0,539363346,0,0,0,0,0,0,3585343489,2,5,0,30115,2510,16,0,0,0,539363346,0,0,0,0,0,0,3585343489,1,7,1,49776,5651,104,0,0,1,539363346,5,0,1,56,0,0,3585343489,2,5,0,48313,4027,53,0,0,0,539363346,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,c1:51 writes,OK
watch,5,2026-08-30T19:27:31Z,10000000,1,0.5,0,"1,2",0,1,1,495.6,,1,254.0,,0,0,1,0,3585343489,1,5,0,31579,2632,16,0,0,0,539363346,0,0,0,0,0,0,3585343489,2,5,0,30114,2510,16,0,0,0,539363346,0,0,0,0,0,0,3585343489,1,7,1,49775,5651,104,0,0,1,539363346,5,0,1,56,0,0,3585343489,2,5,0,48310,4027,53,0,0,0,539363346,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,c1:51 writes,OK
watch,6,2026-08-30T19:27:40Z,10000000,1,0.5,0,"1,2",0,1,1,495.4,,1,254.0,,0,0,1,0,3585343489,1,5,0,31579,2632,16,0,0,0,539363346,0,0,0,0,0,0,3585343489,2,5,0,30115,2510,16,0,0,0,539363346,0,0,0,0,0,0,3585343489,1,7,1,,,,,,,,,,,,,,3585343489,2,5,0,48493,4042,53,0,0,0,539363346,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,c1:51 writes,OK
watch,7,2026-08-30T19:27:49Z,10000000,1,0.5,0,"1,2",0,1,1,495.7,,1,254.2,,0,0,1,0,3585343489,1,5,0,31580,2633,16,0,0,0,539363346,0,0,0,0,0,0,3585343489,2,5,0,30115,2510,16,0,0,0,539363346,0,0,0,0,0,0,3585343489,1,7,1,49778,5651,104,0,0,1,539363346,5,0,1,56,0,0,3585343489,2,5,0,48313,4027,53,0,0,0,539363346,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,c1:51 writes,OK
watch,8,2026-08-30T19:27:59Z,10000000,1,0.5,0,"1,2",0,1,1,495.7,,1,254.1,,0,0,1,0,3585343489,1,5,0,31579,2632,16,0,0,0,539363346,0,0,0,0,0,0,3585343489,2,5,0,30115,2510,16,0,0,0,539363346,0,0,0,0,0,0,3585343489,1,7,1,49776,5651,104,0,0,1,539363346,5,0,1,56,0,0,3585343489,2,5,0,48311,4027,53,0,0,0,539363346,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,c1:51 writes,OK
watch,9,2026-08-30T19:28:08Z,10000000,1,0.5,0,"1,2",0,1,1,495.7,,1,254.2,,0,0,1,0,3585343489,1,5,0,31579,2632,16,0,0,0,539363346,0,0,0,0,0,0,3585343489,2,5,0,30114,2510,16,0,0,0,539363346,0,0,0,0,0,0,3585343489,1,7,1,49775,5651,179,0,0,1,539363346,5,0,1,52,0,0,3585343489,2,5,0,48419,4036,53,0,0,0,539363346,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,c1:51 writes,OK
watch,10,2026-08-30T19:28:18Z,10000000,1,0.5,0,"1,2",0,1,1,495.6,,1,254.2,,0,0,1,0,3585343489,1,5,0,31579,2632,16,0,0,0,539363346,0,0,0,0,0,0,3585343489,2,5,0,30114,2510,16,0,0,0,539363346,0,0,0,0,0,0,3585343489,1,7,1,49812,5657,128,0,0,1,539363346,5,0,1,52,0,0,3585343489,2,5,0,48347,4030,53,0,0,0,539363346,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,c1:51 writes,OK
