chip,addr,hex,verdict,role,predicted_mapped,live_mapped,err_delta,unit,cells
1,0,0x0000,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001Gain001
1,1,0x0001,ECHO,CONSUMED,True,True,0,bool 0/1,Chan001Pol001
1,2,0x0002,UNMAPPED,UNMAPPED,False,False,3,UNDECLARED,Chan001Phantom001
1,3,0x0003,UNMAPPED,UNMAPPED,False,False,3,UNDECLARED,Chan001InputSel001
1,4,0x0004,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001EqHpf001 Chan001EqHpfSlope001
1,5,0x0005,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,6,0x0006,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,7,0x0007,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,8,0x0008,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,9,0x0009,CLEARED,CONSUMED,True,True,0,UNDECLARED,
1,10,0x000A,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001EqLpf001
1,11,0x000B,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,12,0x000C,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,13,0x000D,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,14,0x000E,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,15,0x000F,CLEARED,CONSUMED,True,True,0,UNDECLARED,
1,16,0x0010,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001EqFreq001 Chan001EqGain001 Chan001EqQ001 Chan001EqShelf001
1,17,0x0011,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,18,0x0012,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,19,0x0013,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,20,0x0014,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,21,0x0015,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001EqFreq002 Chan001EqGain002 Chan001EqQ002
1,22,0x0016,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,23,0x0017,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,24,0x0018,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,25,0x0019,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,26,0x001A,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001EqFreq003 Chan001EqGain003 Chan001EqQ003
1,27,0x001B,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,28,0x001C,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,29,0x001D,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,30,0x001E,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,31,0x001F,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001EqFreq004 Chan001EqGain004 Chan001EqQ004 Chan001EqShelf002
1,32,0x0020,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,33,0x0021,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,34,0x0022,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,35,0x0023,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,36,0x0024,CLEARED,CONSUMED,True,True,0,UNDECLARED,
1,37,0x0025,UNMAPPED,UNMAPPED,False,False,4,UNDECLARED,Chan001EqOn001
1,38,0x0026,UNMAPPED,UNMAPPED,False,False,4,UNDECLARED,
1,39,0x0027,UNMAPPED,UNMAPPED,False,False,4,UNDECLARED,
1,40,0x0028,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001GateOn001
1,41,0x0029,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001GateThr001
1,42,0x002A,ECHO,CONSUMED,True,True,0,ms (log table),Chan001GateAtt001
1,43,0x002B,ECHO,CONSUMED,True,True,0,ms,Chan001GateHold001
1,44,0x002C,ECHO,CONSUMED,True,True,0,ms (log table),Chan001GateRel001
1,45,0x002D,ECHO,CONSUMED,True,True,0,dB,Chan001GateRng001
1,46,0x002E,ECHO,INERT,True,True,0,UNDECLARED,Chan001GateKey001
1,47,0x002F,ECHO,INERT,True,True,0,UNDECLARED,Chan001GateDetSrc001
1,48,0x0030,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001GateFilterOn001
1,49,0x0031,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001GateFilterHpf001 Chan001GateFilterQ001
1,50,0x0032,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,51,0x0033,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,52,0x0034,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,53,0x0035,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,54,0x0036,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001GateFilterLpf001
1,55,0x0037,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,56,0x0038,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001CompOn001
1,57,0x0039,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001CompThr001
1,58,0x003A,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001CompRat001
1,59,0x003B,ECHO,CONSUMED,True,True,0,ms (log table),Chan001CompAtt001
1,60,0x003C,ECHO,CONSUMED,True,True,0,ms (log table),Chan001CompRel001
1,61,0x003D,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001CompMake001
1,62,0x003E,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001CompKnee001
1,63,0x003F,ECHO,CONSUMED,True,True,0,percent 0-100,Chan001CompPar001
1,64,0x0040,ECHO,INERT,True,True,0,UNDECLARED,Chan001CompType001
1,65,0x0041,ECHO,INERT,True,True,0,UNDECLARED,Chan001CompKey001
1,66,0x0042,ECHO,INERT,True,True,0,UNDECLARED,Chan001CompDetSrc001
1,67,0x0043,ECHO,INERT,True,True,0,UNDECLARED,Chan001CompLimMode001
1,68,0x0044,ECHO,INERT,True,True,0,UNDECLARED,Chan001CompEqPos001
1,69,0x0045,ECHO,INERT,True,True,0,UNDECLARED,Chan001CompFilterOn001
1,70,0x0046,ECHO,INERT,True,True,0,UNDECLARED,Chan001CompFilterHpf001 Chan001CompFilterLpf001 Chan001CompFilterQ001
1,71,0x0047,ECHO,INERT,True,True,0,UNDECLARED,
1,72,0x0048,ECHO,INERT,True,True,0,UNDECLARED,
1,73,0x0049,ECHO,INERT,True,True,0,UNDECLARED,
1,74,0x004A,ECHO,INERT,True,True,0,UNDECLARED,
1,75,0x004B,ECHO,INERT,True,True,0,UNDECLARED,
1,76,0x004C,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001TubeOn001
1,77,0x004D,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001TubeSat001
1,78,0x004E,ECHO,CONSUMED,True,True,0,ms,Chan001Delay001
1,79,0x004F,ECHO,CONSUMED,True,True,0,UNDECLARED,
1,80,0x0050,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001RtgLevel001
1,81,0x0051,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001RtgPan001
1,82,0x0052,ECHO,CONSUMED,True,True,0,bool 0/1,Chan001RtgMute001
1,83,0x0053,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001RtgDca001
1,84,0x0054,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001RtgMainOn001
1,85,0x0055,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001RtgCtrOn001
1,86,0x0056,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001RtgGrpOn001
1,87,0x0057,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001RtgGrpOn002
1,88,0x0058,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001RtgGrpOn003
1,89,0x0059,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001RtgGrpOn004
1,90,0x005A,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001RtgAuxOn001
1,91,0x005B,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001RtgAuxOn002
1,92,0x005C,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001RtgAuxOn003
1,93,0x005D,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001RtgAuxOn004
1,94,0x005E,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001RtgAuxOn005
1,95,0x005F,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001RtgAuxOn006
1,96,0x0060,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001RtgAuxOn007
1,97,0x0061,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001RtgAuxOn008
1,98,0x0062,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001RtgAuxOn009
1,99,0x0063,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001RtgAuxOn010
1,100,0x0064,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001RtgAuxOn011
1,101,0x0065,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001RtgAuxOn012
1,102,0x0066,ECHO,CONSUMED,True,True,0,UNDECLARED,Chan001RtgAuxSend001
