Part,Manufacturer,Category,Distributor,Price,PriceCurrency,Stock,Status,Source,Notes,LastVerified
"SK-KR260-G","AMD","Kria eval kit","Farnell","£323.5700","GBP","163","Public FindChips row","https://www.findchips.com/search/SK-KR260-G","Observed from FindChips browser snapshot on 2026-08-06","2026-08-06"
"SK-KR260-G","AMD","Kria eval kit","DigiKey","$431.0200","USD","326","Public FindChips row","https://www.findchips.com/search/SK-KR260-G","Observed from FindChips browser snapshot on 2026-08-06","2026-08-06"
"SK-KR260-G","AMD","Kria eval kit","Mouser","$430.9700","USD","141","Public FindChips row","https://www.findchips.com/search/SK-KR260-G","Observed from FindChips browser snapshot on 2026-08-06","2026-08-06"
"XCK26","AMD","Kria K26 SoC FPGA","Repo estimate","$325 MSRP commercial (~$406 spot)","USD","","Estimated from repo note","fpga/platform-shortlist.md","Kria K26 SoM price note from 2026-08-02 shortlist; used as the best available non-FindChips estimate","2026-08-06"
"XCZU5EV-2SFVC784I","AMD","UltraScale+ FPGA","Repo estimate","$200-400 plausible quote","USD","","Estimated from repo note","fpga/platform-shortlist.md","The repo says the catalog $2.3-2.5k @1 value is fiction; a real quote plausibly lands around $200-400","2026-08-06"
"5M570ZT144C4N","Intel/Altera","CPLD","Repo estimate","No repo quote captured","USD","","No repo quote captured","fpga/platform-shortlist.md","No price figure was recorded in the repo docs for this part","2026-08-06"
"STM32G0B1RET6","STMicroelectronics","MCU","Repo estimate","No repo quote captured","USD","","No repo quote captured","tasks.md","The repo notes mention the part but do not include a price figure","2026-08-06"
"STM32U535RET6","STMicroelectronics","MCU","Repo estimate","No repo quote captured","USD","","No repo quote captured","tasks.md","The repo notes mention the part but do not include a price figure","2026-08-06"
"XC7Z020-CLG484","AMD Xilinx","SoC FPGA","Repo estimate","$145 catalog; ~$90-120 @1k","USD","","Estimated from repo note","fpga/platform-shortlist.md","Price note from 2026-08-02 shortlist: $145 catalog; ~$90-120 @1k","2026-08-06"
"XCK26","AMD Xilinx","SoC FPGA","Repo estimate","$325 MSRP commercial (~$406 spot)","USD","","Estimated from repo note","fpga/platform-shortlist.md","Kria K26 SoM price note from 2026-08-02 shortlist","2026-08-06"
"XCZU5EV-1SFVC784","AMD Xilinx","UltraScale+ FPGA","Repo estimate","$2,285-2,473 catalog (backorder)","USD","","Estimated from repo note","fpga/platform-shortlist.md","Catalog price from the 2026-08-02 shortlist; also noted as backorder","2026-08-06"
"XCZU7EV","AMD Xilinx","UltraScale+ FPGA","Repo estimate","Quote only","USD","","Estimated from repo note","fpga/platform-shortlist.md","Listed as quote-only in the shortlist","2026-08-06"
"XCSU35P-2SBVB625E","AMD Xilinx","Spartan US+ FPGA","Repo estimate","$86.89 catalog (in stock)","USD","","Estimated from repo note","fpga/platform-shortlist.md","Catalog price from the 2026-08-02 shortlist; also noted as in stock","2026-08-06"
"XCSU55P-2SBVB625E","AMD Xilinx","Spartan US+ FPGA","Repo estimate","Quote only","USD","","Estimated from repo note","fpga/platform-shortlist.md","Listed as quote-only in the shortlist","2026-08-06"
"XCSU100P-2SBVB625E","AMD Xilinx","Spartan US+ FPGA","Repo estimate","Quote only","USD","","Estimated from repo note","fpga/platform-shortlist.md","Listed as quote-only in the shortlist","2026-08-06"
"XCAU25P-2SBVB484E","AMD Xilinx","Artix US+ FPGA","Repo estimate","Quote only","USD","","Estimated from repo note","fpga/platform-shortlist.md","Artix US+ AU25P candidate noted in the shortlist","2026-08-06"
"XC7A100T-1CSG324C","AMD Xilinx","Artix-7 FPGA","Repo estimate","Not yet quoted","USD","","Estimated from repo note","fpga/platform-shortlist.md","Artix-7 candidate from the shortlist; no price captured yet","2026-08-06"
"XC7A200T-1FBG484C","AMD Xilinx","Artix-7 FPGA","Repo estimate","Not yet quoted","USD","","Estimated from repo note","fpga/platform-shortlist.md","Artix-7 candidate from the shortlist; no price captured yet","2026-08-06"
"ADSP-21569","ADI","DSP","Repo estimate","$33.97 catalog; ~$28-30 @1k","USD","","Estimated from repo note","fpga/platform-shortlist.md","Used in the cost comparison section as a 1 GHz SHARC estimate","2026-08-06"
"ADSP-21564","ADI","DSP","Repo estimate","~$20-35 catalog","USD","","Estimated from repo note","MW/D32/DSP/dsp-def.md","Approximate price used in the DSP cost comparison doc","2026-08-06"
"XC7A200T","AMD Xilinx","Artix-7 FPGA","Repo estimate","~$25-50","USD","","Estimated from repo note","MW/D32/DSP/dsp-def.md","Approximate price in the DSP cost comparison doc","2026-08-06"
"XCAU25P","AMD Xilinx","Artix US+ FPGA","Repo estimate","~$50-100","USD","","Estimated from repo note","MW/D32/DSP/dsp-def.md","Approximate price in the DSP cost comparison doc","2026-08-06"
"XCZU4EG","AMD Xilinx","UltraScale+ FPGA","Repo estimate","~$100-200","USD","","Estimated from repo note","MW/D32/DSP/dsp-def.md","Approximate price in the DSP cost comparison doc","2026-08-06"
"XCZU7EV","AMD Xilinx","UltraScale+ FPGA","Repo estimate","~$250-500","USD","","Estimated from repo note","MW/D32/DSP/dsp-def.md","Approximate price in the DSP cost comparison doc","2026-08-06"
