line_id,slot,signal,scope,note
A_I0,0,IN_01,BOTH,
A_I0,1,IN_02,BOTH,
A_I0,2,IN_03,BOTH,
A_I0,3,IN_04,BOTH,
A_I0,4,IN_05,BOTH,
A_I0,5,IN_06,BOTH,
A_I0,6,IN_07,BOTH,
A_I0,7,IN_08,BOTH,
A_I1,0,IN_09,BOTH,
A_I1,1,IN_10,BOTH,
A_I1,2,IN_11,BOTH,
A_I1,3,IN_12,BOTH,
A_I1,4,IN_13,BOTH,
A_I1,5,IN_14,BOTH,
A_I1,6,IN_15,BOTH,
A_I1,7,IN_16,BOTH,
A_I2,0,IN_17,BOTH,
A_I2,1,IN_18,BOTH,
A_I2,2,IN_19,BOTH,
A_I2,3,IN_20,BOTH,
A_I2,4,IN_21,BOTH,
A_I2,5,IN_22,BOTH,
A_I2,6,IN_23,BOTH,
A_I2,7,IN_24,BOTH,
A_I3,0,IN_25,BOTH,D24: NET source only (no ADC on AD3)
A_I3,1,IN_26,BOTH,
A_I3,2,IN_27,BOTH,
A_I3,3,IN_28,BOTH,
A_I3,4,IN_29,BOTH,
A_I3,5,IN_30,BOTH,
A_I3,6,IN_31,BOTH,
A_I3,7,IN_32,BOTH,
A_I4,0,CODEC_RET_1,BOTH,AK4916 ADC ch1 (talkback XLR)
A_I4,1,CODEC_RET_2,BOTH,AK4916 ADC ch2
A_I4,2,CODEC_RET_3,BOTH,AK4916 ADC ch3 (aux in L)
A_I4,3,CODEC_RET_4,BOTH,AK4916 ADC ch4 (aux in R)
A_I5,0,SNAKE_RET_01,D32,
A_I5,1,SNAKE_RET_02,D32,
A_I5,2,SNAKE_RET_03,D32,
A_I5,3,SNAKE_RET_04,D32,
A_I5,4,SNAKE_RET_05,D32,
A_I5,5,SNAKE_RET_06,D32,
A_I5,6,SNAKE_RET_07,D32,
A_I5,7,SNAKE_RET_08,D32,
A_I6,0,PI_PCM_L,BOTH,Pi playback L (LOGIC re-framed) - USB 2-track PLAY sink
A_I6,1,PI_PCM_R,BOTH,Pi playback R - USB 2-track PLAY sink
A_I7,5,MEMS_TB,BOTH,ADAU7302 TDM8 slot 5 per 47K strap
MIX_0,0,BUS_MAIN_L,BOTH,global mix slot 0 (= legacy sport7 slot 0)
MIX_0,1,BUS_MAIN_R,BOTH,global mix slot 1
MIX_0,2,BUS_SUB,BOTH,global mix slot 2
MIX_0,3,BUS_GRP_01,BOTH,global mix slots 3-6
MIX_0,4,BUS_GRP_02,BOTH,
MIX_0,5,BUS_GRP_03,BOTH,
MIX_0,6,BUS_GRP_04,BOTH,
MIX_0,7,BUS_AUX_01,BOTH,global mix slots 7-18
MIX_0,8,BUS_AUX_02,BOTH,
MIX_0,9,BUS_AUX_03,BOTH,
MIX_0,10,BUS_AUX_04,BOTH,
MIX_0,11,BUS_AUX_05,BOTH,
MIX_0,12,BUS_AUX_06,BOTH,
MIX_0,13,BUS_AUX_07,BOTH,
MIX_0,14,BUS_AUX_08,BOTH,
MIX_0,15,BUS_AUX_09,BOTH,
MIX_1,0,BUS_AUX_10,BOTH,
MIX_1,1,BUS_AUX_11,BOTH,
MIX_1,2,BUS_AUX_12,BOTH,
MIX_1,3,BUS_FX_01,BOTH,global mix slots 19-24
MIX_1,4,BUS_FX_02,BOTH,
MIX_1,5,BUS_FX_03,BOTH,
MIX_1,6,BUS_FX_04,BOTH,
MIX_1,7,BUS_FX_05,BOTH,
MIX_1,8,BUS_FX_06,BOTH,global mix slot 24
MIX_1,9,XFER_CODEC_AUX_L,BOTH,superset input pass-through chip1->chip2 (codec aux in L = CODEC_RET_3)
MIX_1,10,XFER_CODEC_AUX_R,BOTH,codec aux in R = CODEC_RET_4
MIX_1,11,XFER_PI_L,BOTH,Pi playback L pass-through
MIX_1,12,XFER_PI_R,BOTH,Pi playback R pass-through
MIX_1,13,XFER_SNAKE_01,D32,snake return pass-through
MIX_1,14,XFER_SNAKE_02,D32,
MIX_1,15,XFER_SNAKE_03,D32,
MIX_2,0,XFER_SNAKE_04,D32,
MIX_2,1,XFER_SNAKE_05,D32,
MIX_2,2,XFER_SNAKE_06,D32,
MIX_2,3,XFER_SNAKE_07,D32,
MIX_2,4,XFER_SNAKE_08,D32,global mix slot 36; slots 37-127 reserved
B_O0,0,DAC_01,BOTH,
B_O0,1,DAC_02,BOTH,
B_O0,2,DAC_03,BOTH,
B_O0,3,DAC_04,BOTH,
B_O0,4,DAC_05,BOTH,
B_O0,5,DAC_06,BOTH,
B_O0,6,DAC_07,BOTH,
B_O0,7,DAC_08,BOTH,
B_O1,0,DAC_09,BOTH,
B_O1,1,DAC_10,BOTH,
B_O1,2,DAC_11,BOTH,
B_O1,3,DAC_12,BOTH,
B_O1,4,DAC_13,BOTH,
B_O1,5,DAC_14,BOTH,
B_O1,6,DAC_15,BOTH,
B_O1,7,DAC_16,BOTH,
B_O2,0,CODEC_OUT_1,D24,AK4916 DAC ch1 (talkback SPKR)
B_O2,1,CODEC_OUT_2,D24,AK4916 DAC ch2
B_O2,2,CODEC_OUT_3,D24,aux out L
B_O2,3,CODEC_OUT_4,D24,aux out R
B_O2,0,SNAKE_OUT_01,D32,
B_O2,1,SNAKE_OUT_02,D32,
B_O2,2,SNAKE_OUT_03,D32,
B_O2,3,SNAKE_OUT_04,D32,
B_O2,4,SNAKE_OUT_05,D32,
B_O2,5,SNAKE_OUT_06,D32,
B_O2,6,SNAKE_OUT_07,D32,
B_O2,7,SNAKE_OUT_08,D32,
B_O3,0,DAC_MAIN_L,BOTH,provisional - no D24 sink found (rev B)
B_O3,1,DAC_MAIN_R,BOTH,provisional
B_O3,2,PI_RET_L,BOTH,Pi CM4 stereo return L (LOGIC de-frames to pcm_din) - USB 2-track REC source - HUB-ACCEPTED 2026-08-23 PW TO RATIFY
B_O3,3,PI_RET_R,BOTH,Pi CM4 stereo return R - USB 2-track REC source - HUB-ACCEPTED 2026-08-23 PW TO RATIFY
B_O4,0,NET_OUT_01,BOTH,
B_O4,1,NET_OUT_02,BOTH,
B_O4,2,NET_OUT_03,BOTH,
B_O4,3,NET_OUT_04,BOTH,
B_O4,4,NET_OUT_05,BOTH,
B_O4,5,NET_OUT_06,BOTH,
B_O4,6,NET_OUT_07,BOTH,
B_O4,7,NET_OUT_08,BOTH,
B_O5,0,NET_OUT_09,BOTH,
B_O5,1,NET_OUT_10,BOTH,
B_O5,2,NET_OUT_11,BOTH,
B_O5,3,NET_OUT_12,BOTH,
B_O5,4,NET_OUT_13,BOTH,
B_O5,5,NET_OUT_14,BOTH,
B_O5,6,NET_OUT_15,BOTH,
B_O5,7,NET_OUT_16,BOTH,
B_O6,0,NET_OUT_17,BOTH,
B_O6,1,NET_OUT_18,BOTH,
B_O6,2,NET_OUT_19,BOTH,
B_O6,3,NET_OUT_20,BOTH,
B_O6,4,NET_OUT_21,BOTH,
B_O6,5,NET_OUT_22,BOTH,
B_O6,6,NET_OUT_23,BOTH,
B_O6,7,NET_OUT_24,BOTH,
B_O7,0,NET_OUT_25,BOTH,
B_O7,1,NET_OUT_26,BOTH,
B_O7,2,NET_OUT_27,BOTH,
B_O7,3,NET_OUT_28,BOTH,
B_O7,4,NET_OUT_29,BOTH,
B_O7,5,NET_OUT_30,BOTH,
B_O7,6,NET_OUT_31,BOTH,
B_O7,7,NET_OUT_32,BOTH,
